"","GEOID","NAME","zero_nine","ten_nineteen","twenty_thirtyfour","thirtyfive_fiftyfour","fiftyfive_sixtyfour","sixtyfive_more"
"183","25025100700","Census Tract 1007; Suffolk County; Massachusetts",377,413,1143,1133,507,759
"184","25025100800","Census Tract 1008; Suffolk County; Massachusetts",498,525,1488,1491,729,1060
"185","25025100900","Census Tract 1009; Suffolk County; Massachusetts",345,465,950,1143,519,726
"186","25025101001","Census Tract 1010.01; Suffolk County; Massachusetts",591,656,1020,1520,747,1061
"187","25025101002","Census Tract 1010.02; Suffolk County; Massachusetts",698,736,1093,1430,731,1024
"188","25025101101","Census Tract 1011.01; Suffolk County; Massachusetts",433,519,775,889,442,464
"189","25025101102","Census Tract 1011.02; Suffolk County; Massachusetts",686,797,1031,1166,517,569
"190","25025110104","Census Tract 1101.04; Suffolk County; Massachusetts",268,338,572,601,192,206
"191","25025110105","Census Tract 1101.05; Suffolk County; Massachusetts",160,99,885,558,189,229
"192","25025110106","Census Tract 1101.06; Suffolk County; Massachusetts",129,110,358,406,164,189
"193","25025110201","Census Tract 1102.01; Suffolk County; Massachusetts",236,278,455,557,268,297
"194","25025110301","Census Tract 1103.01; Suffolk County; Massachusetts",243,254,586,664,378,375
"195","25025110401","Census Tract 1104.01; Suffolk County; Massachusetts",391,369,931,984,465,485
"196","25025110403","Census Tract 1104.03; Suffolk County; Massachusetts",473,461,911,1174,654,764
"197","25025110501","Census Tract 1105.01; Suffolk County; Massachusetts",379,326,645,968,487,497
"198","25025110502","Census Tract 1105.02; Suffolk County; Massachusetts",436,362,954,1154,473,621
"199","25025070302","Census Tract 703.02; Suffolk County; Massachusetts",129,60,588,454,265,594
"200","25025070202","Census Tract 702.02; Suffolk County; Massachusetts",346,693,2186,1092,549,594
"201","25025070301","Census Tract 703.01; Suffolk County; Massachusetts",172,55,809,583,282,312
"202","25025070402","Census Tract 704.02; Suffolk County; Massachusetts",183,181,1553,711,428,505
"203","25025070501","Census Tract 705.01; Suffolk County; Massachusetts",159,108,774,611,297,274
"204","25025070502","Census Tract 705.02; Suffolk County; Massachusetts",284,265,877,931,493,543
"205","25025070600","Census Tract 706; Suffolk County; Massachusetts",202,99,805,600,285,296
"206","25025070700","Census Tract 707; Suffolk County; Massachusetts",207,190,747,633,357,393
"207","25025070801","Census Tract 708.01; Suffolk County; Massachusetts",68,41,591,184,87,85
"208","25025070802","Census Tract 708.02; Suffolk County; Massachusetts",197,104,1079,687,356,262
"209","25025070901","Census Tract 709.01; Suffolk County; Massachusetts",109,127,395,243,111,180
"210","25025070902","Census Tract 709.02; Suffolk County; Massachusetts",182,141,929,558,262,228
"211","25025071101","Census Tract 711.01; Suffolk County; Massachusetts",269,120,1588,1028,564,542
"212","25025071201","Census Tract 712.01; Suffolk County; Massachusetts",308,317,838,1051,505,495
"213","25025080100","Census Tract 801; Suffolk County; Massachusetts",208,271,971,877,330,243
"214","25025080300","Census Tract 803; Suffolk County; Massachusetts",300,350,561,551,263,211
"215","25025080401","Census Tract 804.01; Suffolk County; Massachusetts",356,422,885,760,448,520
"216","25025080500","Census Tract 805; Suffolk County; Massachusetts",390,524,882,716,361,415
"217","25025080601","Census Tract 806.01; Suffolk County; Massachusetts",169,1149,2673,331,193,217
"218","25025080801","Census Tract 808.01; Suffolk County; Massachusetts",341,1158,1630,526,287,340
"219","25025080900","Census Tract 809; Suffolk County; Massachusetts",182,167,3060,428,210,329
"220","25025081001","Census Tract 810.01; Suffolk County; Massachusetts",417,430,2794,867,492,695
"221","25025081101","Census Tract 811.01; Suffolk County; Massachusetts",56,37,802,247,74,268
"222","25025081102","Census Tract 811.02; Suffolk County; Massachusetts",138,138,1768,413,240,468
"223","25025081200","Census Tract 812; Suffolk County; Massachusetts",423,547,977,783,359,417
"224","25025081301","Census Tract 813.01; Suffolk County; Massachusetts",309,295,613,475,221,481
"225","25025081302","Census Tract 813.02; Suffolk County; Massachusetts",413,386,783,640,348,510
"226","25025081400","Census Tract 814; Suffolk County; Massachusetts",308,305,1657,683,363,458
"227","25025081500","Census Tract 815; Suffolk County; Massachusetts",259,264,819,553,290,264
"228","25025081700","Census Tract 817; Suffolk County; Massachusetts",550,581,966,957,457,630
"229","25025081800","Census Tract 818; Suffolk County; Massachusetts",408,505,879,900,445,430
"230","25025081900","Census Tract 819; Suffolk County; Massachusetts",500,528,888,871,447,437
"231","25025082000","Census Tract 820; Suffolk County; Massachusetts",380,469,733,776,412,425
"232","25025082100","Census Tract 821; Suffolk County; Massachusetts",756,803,1112,1232,621,700
"233","25025090100","Census Tract 901; Suffolk County; Massachusetts",697,856,1190,1253,519,656
"234","25025090200","Census Tract 902; Suffolk County; Massachusetts",410,457,527,557,220,241
"235","25025090300","Census Tract 903; Suffolk County; Massachusetts",647,676,877,874,400,321
