"GEOID","NAME","owner","renter","YEAR"
"Hyde Park","Hyde Park",6620,4999,2000
"Jamaica Plain","Jamaica Plain",5411,9173,2000
"Longwood","Longwood",35,623,2000
"Mattapan","Mattapan",3401,4934,2000
"Mission Hill","Mission Hill",613,4842,2000
"North End","North End",1491,4356,2000
"Roslindale","Roslindale",5675,5643,2000
"Roxbury","Roxbury",3267,12524,2000
"South Boston","South Boston",4652,9160,2000
"South Boston Waterfront","South Boston Waterfront",90,128,2000
"South End","South End",3826,8877,2000
"West End","West End",739,1718,2000
"West Roxbury","West Roxbury",7749,4334,2000
"Allston","Allston",1107,8499,2010
"Back Bay","Back Bay",3230,6599,2010
"Beacon Hill","Beacon Hill",1836,3614,2010
"Brighton","Brighton",5328,15676,2010
"Charlestown","Charlestown",3719,4314,2010
"Chinatown","Chinatown",296,1182,2010
"Dorchester","Dorchester",14201,27036,2010
"Downtown","Downtown",1392,3231,2010
"East Boston","East Boston",4028,10623,2010
"Fenway","Fenway",1412,11471,2010
"Harbor Islands","Harbor Islands",0,0,2010
"Hyde Park","Hyde Park",6782,4930,2010
"Jamaica Plain","Jamaica Plain",6497,8830,2010
"Longwood","Longwood",63,332,2010
"Mattapan","Mattapan",3320,5029,2010
"Mission Hill","Mission Hill",653,5472,2010
"North End","North End",1551,4514,2010
"Roslindale","Roslindale",5794,5479,2010
"Roxbury","Roxbury",3831,14349,2010
"South Boston","South Boston",6100,9158,2010
"South Boston Waterfront","South Boston Waterfront",395,561,2010
"South End","South End",5338,9085,2010
"West End","West End",681,2201,2010
"West Roxbury","West Roxbury",8237,4723,2010
"Allston","Allston",1003,9025,2020
"Back Bay","Back Bay",3101,6902,2020
"Beacon Hill","Beacon Hill",1740,3748,2020
"Brighton","Brighton",4508,18033,2020
"Charlestown","Charlestown",4012,4923,2020
"Chinatown","Chinatown",176,2762,2020
"Dorchester","Dorchester",15008,29792,2020
"Downtown","Downtown",2045,3337,2020
"East Boston","East Boston",4342,12359,2020
"Fenway","Fenway",1260,12005,2020
"Hyde Park","Hyde Park",7161,5314,2020
"Jamaica Plain","Jamaica Plain",7133,10264,2020
"Longwood","Longwood",39,278,2020
"Mattapan","Mattapan",3512,5312,2020
"Mission Hill","Mission Hill",654,6016,2020
"North End","North End",1547,4766,2020
"Roslindale","Roslindale",6089,5598,2020
"Roxbury","Roxbury",3863,16154,2020
"South Boston","South Boston",6786,11167,2020
"South Boston Waterfront","South Boston Waterfront",721,2903,2020
"South End","South End",5670,10485,2020
"West End","West End",750,3822,2020
"West Roxbury","West Roxbury",8305,5090,2020
"Allston","Allston",1096,9871,2024
"Back Bay","Back Bay",3210,6956,2024
"Beacon Hill","Beacon Hill",1770,3748,2024
"Brighton","Brighton",4910,19251,2024
"Charlestown","Charlestown",4060,4955,2024
"Chinatown","Chinatown",292,2763,2024
"Dorchester","Dorchester",15162,30207,2024
"Downtown","Downtown",2434,3711,2024
"East Boston","East Boston",5183,12764,2024
"Fenway","Fenway",1266,13082,2024
"Hyde Park","Hyde Park",14302,10607,2024
"Jamaica Plain","Jamaica Plain",7357,10868,2024
"Longwood","Longwood",39,278,2024
"Mattapan","Mattapan",3521,5391,2024
"Mission Hill","Mission Hill",662,6083,2024
"North End","North End",1571,4857,2024
"Roslindale","Roslindale",6605,5653,2024
"Roxbury","Roxbury",4246,16728,2024
"South Boston","South Boston",7083,11469,2024
"South Boston Waterfront","South Boston Waterfront",721,4625,2024
"South End","South End",5831,10918,2024
"West End","West End",750,4290,2024
"West Roxbury","West Roxbury",8315,5121,2024
