"YEAR","GEOID","NAME","total_workers_16_and_over","car_truck_van_alone","car_truck_van_carpool","public_transportation","walked","taxi_moto_bike_other","worked_from_home"
2020,"South Boston Waterfront","South Boston Waterfront",5210,1318,142,486,1766,186,1312
2020,"South End","South End",18364,4124,528,3709,5548,984,3471
2020,"West End","West End",5369,737,18,1010,1972,225,1407
2020,"West Roxbury","West Roxbury",16856,9640,1053,2398,203,271,3291
2024,"Allston","Allston",18729,4792,652,5203,3466,1475,3141
2024,"Back Bay","Back Bay",11238,2061,138,1862,4235,513,2429
2024,"Beacon Hill","Beacon Hill",6633,783,43,1036,2753,197,1821
2024,"Brighton","Brighton",35924,12984,2503,10709,2485,1061,6181
2024,"Charlestown","Charlestown",12149,3856,572,2548,1845,1035,2292
2024,"Chinatown","Chinatown",3294,336,110,592,1418,58,780
2024,"Dorchester","Dorchester",60538,27020,4808,17085,2958,2441,6226
2024,"Downtown","Downtown",7867,951,143,1394,3593,118,1668
2024,"East Boston","East Boston",25583,7606,1399,10839,1375,336,4027
2024,"Fenway","Fenway",21882,2316,468,4529,10065,1006,3497
2024,"Hyde Park","Hyde Park",16252,9707,1456,2864,384,308,1533
2024,"Jamaica Plain","Jamaica Plain",25683,8013,1018,7668,1733,1740,5511
2024,"Longwood","Longwood",2652,189,104,301,1656,47,355
2024,"Mattapan","Mattapan",10973,5162,795,3020,277,428,1292
2024,"Mission Hill","Mission Hill",9443,1779,255,2929,3348,271,861
2024,"North End","North End",7939,1136,141,1424,3138,200,1899
2024,"Roslindale","Roslindale",15883,8587,625,3201,500,502,2468
2024,"Roxbury","Roxbury",23780,8188,1668,8571,2298,1269,1786
2024,"South Boston","South Boston",28561,9521,928,8162,2440,793,6716
2024,"South Boston Waterfront","South Boston Waterfront",6372,1600,166,560,2164,236,1645
2024,"South End","South End",19574,4397,564,3957,5900,1057,3699
2024,"West End","West End",5655,799,20,979,2103,255,1499
2024,"West Roxbury","West Roxbury",16621,9473,1026,2366,201,268,3286
