YEAR,c20aa,c20ab,c20ac,c20ad,c20ae,c20af,c20ag,c20ah,c20ai,GEOID,NAME
2020,4179,1822,2210,1535,1228,1145,699,901,34388,Brighton,Brighton
2020,1094,708,938,214,676,399,350,133,15916,Charlestown,Charlestown
2020,658,192,378,404,190,41,215,82,2014,Chinatown,Chinatown
2020,12239,7136,7491,5868,5519,6194,1729,2784,77802,Dorchester,Dorchester
2020,1131,212,535,274,86,189,51,153,6596,Downtown,Downtown
2020,3661,1352,2567,2675,2678,2673,976,1635,29385,East Boston,East Boston
2020,5141,799,1249,497,369,768,463,218,9939,Fenway,Fenway
2020,173,71,85,15,18,54,0,0,12,Harbor Islands,Harbor Islands
2020,2209,1660,830,1083,911,984,968,1012,29262,Hyde Park,Hyde Park
2020,3034,722,1514,962,945,849,351,1045,32444,Jamaica Plain,Jamaica Plain
2020,68,3,21,12,5,0,0,27,257,Longwood,Longwood
2020,1665,986,1667,1134,1720,1187,178,648,17354,Mattapan,Mattapan
2020,3226,774,1631,997,522,489,290,103,6382,Mission Hill,Mission Hill
2020,447,67,477,135,25,286,82,28,8693,North End,North End
2020,1205,770,946,1139,952,1106,734,456,25037,Roslindale,Roslindale
2020,6892,3803,3757,3634,2609,2737,925,1293,24354,Roxbury,Roxbury
2020,2544,874,1203,931,859,829,339,520,28684,South Boston,South Boston
2020,21,4,31,17,36,7,0,58,3892,South Boston Waterfront,South Boston Waterfront
2020,2958,1472,2416,1365,1113,634,86,309,20742,South End,South End
2020,460,81,250,50,36,83,41,61,5076,West End,West End
2020,785,421,1032,976,671,861,439,289,28103,West Roxbury,West Roxbury
