"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2011,"Beacon Hill","Beacon Hill",125,247,4,116527936,181313184,6278335
2011,"Brighton","Brighton",236,619,44,91181346,264766796,15517895
2011,"Charlestown","Charlestown",300,582,48,142099765,262273070,20233799
2011,"Chinatown","Chinatown",32,54,2,31307473,30956186,984529
2011,"Dorchester","Dorchester",548,981,78,177606492,339456069,12773626
2011,"Downtown","Downtown",87,199,6,76456012,119804586,3423302
2011,"East Boston","East Boston",185,238,23,54808980,70563292,4150323
2011,"Fenway","Fenway",104,193,11,38397642,146536318,3560951
2011,"Hyde Park","Hyde Park",215,388,42,60452253,112730845,5779641
2011,"Jamaica Plain","Jamaica Plain",352,839,74,144274792,343045695,24650850
2011,"Longwood","Longwood",6,6,0,1789829,1288530,0
2011,"Mattapan","Mattapan",78,138,15,21791848,37866925,1532423
2011,"Mission Hill","Mission Hill",51,114,10,35045792,69029846,4421409
2011,"North End","North End",95,243,15,69133941,132616498,7931248
2011,"Roslindale","Roslindale",228,595,63,78644831,195310941,12560863
2011,"Roxbury","Roxbury",158,224,21,59609076,90605500,6329309
2011,"South Boston","South Boston",593,955,66,252071874,402448406,41316527
2011,"South Boston Waterfront","South Boston Waterfront",16,26,1,7750034,12304144,1231438
2011,"South End","South End",474,1020,56,329148918,639512516,35297518
2011,"West End","West End",40,86,5,19480358,37091374,3147711
2011,"West Roxbury","West Roxbury",266,875,85,119227456,313236177,18509919
2012,"Allston","Allston",65,209,9,50799620,125405373,25809267
2012,"Back Bay","Back Bay",278,571,21,255657904,415119528,21378650
2012,"Beacon Hill","Beacon Hill",162,357,8,142716383,241413539,9154630
2012,"Brighton","Brighton",288,931,48,144706930,350523228,24909577
2012,"Charlestown","Charlestown",424,932,23,209583928,412905448,5185330
2012,"Chinatown","Chinatown",40,57,1,29854033,35625747,358216
2012,"Dorchester","Dorchester",645,1474,107,220005575,523027409,17390229
2012,"Downtown","Downtown",139,260,3,98566683,152078888,1067660
2012,"East Boston","East Boston",192,425,34,60297938,126027216,6935442
2012,"Fenway","Fenway",127,270,14,81616680,117926729,4489363
2012,"Hyde Park","Hyde Park",270,579,62,83453469,165285565,7637781
2012,"Jamaica Plain","Jamaica Plain",450,1247,73,189643282,497179501,22730665
2012,"Longwood","Longwood",7,7,0,1771782,1816395,0
2012,"Mattapan","Mattapan",64,177,19,19680799,58475169,1380460
2012,"Mission Hill","Mission Hill",69,162,6,47240753,103647369,4832229
2012,"North End","North End",136,347,12,93844835,203861676,22822040
2012,"Roslindale","Roslindale",258,799,80,93029504,272906553,9990543
2012,"Roxbury","Roxbury",178,346,30,81667362,133246696,7025605
2012,"South Boston","South Boston",787,1570,64,371991556,620824009,28595602
2012,"South Boston Waterfront","South Boston Waterfront",64,109,5,48360469,48193119,2037102
2012,"South End","South End",553,1265,42,440301936,710145284,34077868
2012,"West End","West End",38,99,1,17279333,164884042,242186
2012,"West Roxbury","West Roxbury",373,1397,114,144787709,537145576,24383030
2013,"Allston","Allston",78,193,6,111241293,145961501,1586121
2013,"Back Bay","Back Bay",219,398,17,233252673,305437484,28639004
2013,"Beacon Hill","Beacon Hill",145,215,14,153760182,167158216,16625370
2013,"Brighton","Brighton",353,684,44,150553652,290186262,12700089
2013,"Charlestown","Charlestown",503,612,31,278765787,271762118,23720738
2013,"Chinatown","Chinatown",60,52,1,54201960,34175829,257709
2013,"Dorchester","Dorchester",791,1284,135,333494833,413898115,26199343
2013,"Downtown","Downtown",194,205,5,167745364,120051433,793138
2013,"East Boston","East Boston",254,394,41,93886735,119020771,9880500
2013,"Fenway","Fenway",147,219,7,110700546,151917242,7728524
2013,"Hyde Park","Hyde Park",266,506,73,85791384,139852107,11979714
2013,"Jamaica Plain","Jamaica Plain",491,851,90,241084327,329591529,26927775
2013,"Longwood","Longwood",6,12,1,2012532,3295175,229896
2013,"Mattapan","Mattapan",109,198,25,53837106,58347086,3015029
2013,"Mission Hill","Mission Hill",52,112,8,63840366,50075638,9273905
2013,"North End","North End",148,228,7,109012372,126806078,1510672
2013,"Roslindale","Roslindale",340,616,90,127887008,196883752,9334459
2013,"Roxbury","Roxbury",208,349,32,95095183,129285015,10178633
2013,"South Boston","South Boston",886,1067,75,459332408,447758868,35972302
2013,"South Boston Waterfront","South Boston Waterfront",67,65,4,35922489,31591755,3621306
2013,"South End","South End",588,871,38,616133176,492033704,28726131
2013,"West End","West End",38,79,2,143144764,26783505,119345
2013,"West Roxbury","West Roxbury",406,777,119,165295175,298546875,18372831
2014,"Allston","Allston",72,68,15,48304940,53381224,7863392
2014,"Back Bay","Back Bay",203,126,13,292983849,103759909,18693943
2014,"Beacon Hill","Beacon Hill",117,91,10,128767166,100152654,8676946
2014,"Brighton","Brighton",310,246,48,163144786,144939970,53260929
2014,"Charlestown","Charlestown",360,233,32,211635160,110573892,10797044
2014,"Chinatown","Chinatown",41,17,1,38946632,14265983,1591760
2014,"Dorchester","Dorchester",826,681,142,347014803,254430218,40835670
2014,"Downtown","Downtown",159,63,7,141342542,52024223,7067474
2014,"East Boston","East Boston",305,233,51,142738794,102803086,31188298
2014,"Fenway","Fenway",141,86,8,77117148,113298490,54886414
2014,"Hyde Park","Hyde Park",221,260,54,88553313,78282893,7124269
2014,"Jamaica Plain","Jamaica Plain",494,297,96,267161133,134287807,45035040
2014,"Longwood","Longwood",3,3,0,984022,767685,0
2014,"Mattapan","Mattapan",109,139,21,49832796,45922667,3695027
2014,"Mission Hill","Mission Hill",62,52,8,104887826,42376903,12881052
2014,"North End","North End",123,95,9,114785108,82659304,4706651
2014,"Roslindale","Roslindale",365,263,82,160095486,98389021,13087015
2014,"Roxbury","Roxbury",173,185,45,176502541,96214877,16962365
2014,"South Boston","South Boston",845,450,66,456242240,216129414,41851384
2014,"South Boston Waterfront","South Boston Waterfront",60,28,4,34033048,19930749,1691582
2014,"South End","South End",491,258,30,411593862,190086183,27552015
2014,"West End","West End",29,22,3,15139843,8804276,1238681
2014,"West Roxbury","West Roxbury",334,304,84,143656060,108186773,13509285
2015,"Allston","Allston",94,81,15,69445341,45103198,18892420
2015,"Back Bay","Back Bay",199,198,17,258495842,182046753,18027243
2015,"Beacon Hill","Beacon Hill",142,125,18,167581741,112791273,19986780
2015,"Brighton","Brighton",276,366,49,130990433,168872764,27256085
2015,"Charlestown","Charlestown",423,399,44,287992611,193160672,21735174
2015,"Chinatown","Chinatown",33,25,1,42413892,25096565,3203433
2015,"Dorchester","Dorchester",873,988,171,442809585,507945959,46599188
2015,"Downtown","Downtown",117,97,6,133582075,124639992,11250818
2015,"East Boston","East Boston",297,327,64,156507333,145121771,47943823
2015,"Fenway","Fenway",93,115,22,57911900,187804356,43614814
2015,"Hyde Park","Hyde Park",239,397,88,108157283,132539743,18510027
2015,"Jamaica Plain","Jamaica Plain",508,471,95,294946755,208837588,31865589
2015,"Longwood","Longwood",1,4,0,197559,1091513,0
2015,"Mattapan","Mattapan",115,165,22,56543803,66966267,4862416
2015,"Mission Hill","Mission Hill",49,59,10,45898554,51505873,14592491
2015,"North End","North End",147,112,11,133665148,75038471,6165952
2015,"Roslindale","Roslindale",363,459,89,161022964,177681338,20775500
2015,"Roxbury","Roxbury",232,256,50,206145717,124301072,24931861
2015,"South Boston","South Boston",793,756,82,512989716,390842698,32764851
2015,"South Boston Waterfront","South Boston Waterfront",72,51,6,69335898,34863229,2937733
2015,"South End","South End",512,447,43,570601528,316062646,23399060
2015,"West End","West End",43,20,2,26765517,8132015,2383053
2015,"West Roxbury","West Roxbury",384,475,111,201510002,196530286,24130575
2016,"Allston","Allston",62,86,23,45160846,77002038,28882355
2016,"Back Bay","Back Bay",236,230,26,333230421,345582543,52742209
2016,"Beacon Hill","Beacon Hill",127,136,24,164252700,156631698,37972098
2016,"Brighton","Brighton",247,384,76,158962495,205188406,43358642
2016,"Charlestown","Charlestown",394,434,49,285750979,224462274,23743383
2016,"Chinatown","Chinatown",77,31,4,110753800,23051146,3022265
2016,"Dorchester","Dorchester",861,1265,224,453248391,515917411,71154548
2016,"Downtown","Downtown",259,114,12,347936371,78058120,10281095
2016,"East Boston","East Boston",373,379,65,241645497,153646707,29553634
2016,"Fenway","Fenway",82,124,13,63696942,76495347,49180456
2016,"Hyde Park","Hyde Park",280,486,78,122609108,165461084,16276020
2016,"Jamaica Plain","Jamaica Plain",506,581,87,318368109,286757106,37883685
2016,"Longwood","Longwood",1,2,0,324350,524325,0
2016,"Mattapan","Mattapan",158,222,28,89093773,86291684,7912429
2016,"Mission Hill","Mission Hill",78,64,13,63888528,63386833,22270592
2016,"North End","North End",135,140,17,198970555,100109561,14013969
2016,"Roslindale","Roslindale",366,512,96,178166658,215072871,27913926
2016,"Roxbury","Roxbury",229,247,67,148716651,139670876,33131543
2016,"South Boston","South Boston",773,888,121,532777811,462913746,80040824
2016,"South Boston Waterfront","South Boston Waterfront",67,66,6,53803966,38131131,2245260
2016,"South End","South End",461,478,48,479264393,375782529,34115046
2016,"West End","West End",27,31,2,13160555,11247378,981585
2016,"West Roxbury","West Roxbury",382,597,118,189981204,248153222,35615074
2017,"Allston","Allston",76,58,12,92863181,98045648,60508093
2017,"Back Bay","Back Bay",191,133,16,276803244,158759842,10144784
2017,"Beacon Hill","Beacon Hill",141,92,17,182522542,103612427,23637334
2017,"Brighton","Brighton",266,191,51,218587779,108138108,23374720
2017,"Charlestown","Charlestown",388,185,42,277379908,109016135,22092396
2017,"Chinatown","Chinatown",39,13,1,45374132,20242963,1100887
2017,"Dorchester","Dorchester",1015,886,191,586406006,498135511,68063299
2017,"Downtown","Downtown",139,58,6,157337277,67876535,3018365
2017,"East Boston","East Boston",447,285,53,266363555,159784230,25838933
2017,"Fenway","Fenway",113,75,15,99124460,78668938,89085937
2017,"Hyde Park","Hyde Park",267,365,86,122796419,126201497,17463547
2017,"Jamaica Plain","Jamaica Plain",473,298,80,330385789,264293828,29261091
2017,"Longwood","Longwood",1,2,0,590993,857238,0
2017,"Mattapan","Mattapan",137,175,53,67219194,63843965,11162008
2017,"Mission Hill","Mission Hill",93,32,9,122232146,69825470,12566592
2017,"North End","North End",116,66,12,101355121,52520137,11110459
