"YEAR","GEOID","NAME","total_occupied_units","no_vehicles","one_or_more_vehicles"
2024,25025010206,"Census Tract 102.06",1580,839,740
2024,25025010300,"Census Tract 103",331,231,100
2024,25025010403,"Census Tract 104.03",2057,1454,603
2024,25025010404,"Census Tract 104.04",1762,1282,481
2024,25025010405,"Census Tract 104.05",1036,646,390
2024,25025010408,"Census Tract 104.08",833,540,293
2024,25025010500,"Census Tract 105",2097,1433,664
2024,25025010600,"Census Tract 106",2053,891,1161
2024,25025010701,"Census Tract 107.01",1891,894,997
2024,25025010702,"Census Tract 107.02",1487,509,978
2024,25025010801,"Census Tract 108.01",1740,793,948
2024,25025010802,"Census Tract 108.02",1790,729,1061
2024,25025020101,"Census Tract 201.01",2607,1016,1591
2024,25025020200,"Census Tract 202",2174,1587,588
2024,25025020301,"Census Tract 203.01",1445,949,496
2024,25025020302,"Census Tract 203.02",740,531,209
2024,25025020304,"Census Tract 203.04",959,414,545
2024,25025020305,"Census Tract 203.05",2605,1632,973
2024,25025030100,"Census Tract 301",1221,754,467
2024,25025030200,"Census Tract 302",1042,524,519
2024,25025030301,"Census Tract 303.01",909,209,700
2024,25025030302,"Census Tract 303.02",881,679,202
2024,25025030400,"Census Tract 304",2512,1376,1136
2024,25025030500,"Census Tract 305",1526,720,806
2024,25025040100,"Census Tract 401",1208,291,917
2024,25025040200,"Census Tract 402",653,159,494
2024,25025040300,"Census Tract 403",1948,378,1570
2024,25025040401,"Census Tract 404.01",1364,348,1016
2024,25025040600,"Census Tract 406",1860,188,1672
2024,25025040801,"Census Tract 408.01",1980,506,1474
2024,25025050101,"Census Tract 501.01",1945,724,1222
2024,25025050200,"Census Tract 502",1977,789,1188
2024,25025050300,"Census Tract 503",1823,685,1138
2024,25025050400,"Census Tract 504",1050,548,502
2024,25025050500,"Census Tract 505",853,230,623
2024,25025050600,"Census Tract 506",799,343,456
2024,25025050700,"Census Tract 507",1712,727,985
2024,25025050901,"Census Tract 509.01",1574,478,1096
2024,25025051000,"Census Tract 510",2011,316,1696
2024,25025051101,"Census Tract 511.01",2724,555,2169
2024,25025051200,"Census Tract 512",1443,426,1017
2024,25025060101,"Census Tract 601.01",1866,343,1523
2024,25025060200,"Census Tract 602",1115,209,906
2024,25025060301,"Census Tract 603.01",1832,353,1479
2024,25025060400,"Census Tract 604",2724,421,2303
2024,25025060501,"Census Tract 605.01",2278,331,1947
2024,25025060601,"Census Tract 606.01",1120,423,697
2024,25025060602,"Census Tract 606.02",231,115,117
2024,25025060603,"Census Tract 606.03",1247,563,683
2024,25025060604,"Census Tract 606.04",2278,903,1375
2024,25025060700,"Census Tract 607",768,519,249
2024,25025060800,"Census Tract 608",2312,660,1652
2024,25025061000,"Census Tract 610",1284,551,733
2024,25025061101,"Census Tract 611.01",1241,816,425
2024,25025061201,"Census Tract 612.01",1004,197,807
2024,25025061202,"Census Tract 612.02",0,0,0
2024,25025061203,"Census Tract 612.03",1276,186,1090
2024,25025061204,"Census Tract 612.04",736,276,460
2024,25025070102,"Census Tract 701.02",1423,753,670
2024,25025070103,"Census Tract 701.03",358,213,145
2024,25025070104,"Census Tract 701.04",1663,705,959
2024,25025070201,"Census Tract 702.01",1259,932,326
2024,25025070202,"Census Tract 702.02",2697,2011,686
2024,25025070301,"Census Tract 703.01",1253,404,850
2024,25025070302,"Census Tract 703.02",1409,702,707
2024,25025070402,"Census Tract 704.02",2841,1457,1384
2024,25025070501,"Census Tract 705.01",1237,349,888
2024,25025070502,"Census Tract 705.02",1924,900,1024
2024,25025070600,"Census Tract 706",1227,305,922
2024,25025070700,"Census Tract 707",1386,483,903
2024,25025070801,"Census Tract 708.01",426,211,215
2024,25025070802,"Census Tract 708.02",1449,524,925
2024,25025070901,"Census Tract 709.01",495,294,201
2024,25025070902,"Census Tract 709.02",1185,406,779
2024,25025071101,"Census Tract 711.01",2129,809,1320
2024,25025071201,"Census Tract 712.01",1912,806,1106
2024,25025080100,"Census Tract 801",788,357,431
2024,25025080300,"Census Tract 803",838,430,407
2024,25025080401,"Census Tract 804.01",1320,635,685
2024,25025080500,"Census Tract 805",1281,695,587
2024,25025080601,"Census Tract 806.01",928,642,286
2024,25025080801,"Census Tract 808.01",1215,783,432
2024,25025080900,"Census Tract 809",1940,920,1019
2024,25025081001,"Census Tract 810.01",2501,1611,890
2024,25025081101,"Census Tract 811.01",649,371,278
2024,25025081102,"Census Tract 811.02",1265,619,646
2024,25025081200,"Census Tract 812",1392,605,787
2024,25025081301,"Census Tract 813.01",1123,559,563
2024,25025081302,"Census Tract 813.02",1277,744,533
2024,25025081400,"Census Tract 814",1578,528,1050
2024,25025081500,"Census Tract 815",989,274,715
2024,25025081700,"Census Tract 817",1742,871,871
2024,25025081800,"Census Tract 818",1483,524,959
2024,25025081900,"Census Tract 819",1445,349,1096
2024,25025082000,"Census Tract 820",1333,464,869
2024,25025082100,"Census Tract 821",2058,1125,932
2024,25025090100,"Census Tract 901",1794,560,1234
2024,25025090200,"Census Tract 902",755,291,464
2024,25025090300,"Census Tract 903",1178,388,789
2024,25025090400,"Census Tract 904",1631,649,982
2024,25025090600,"Census Tract 906",1014,335,679
2024,25025090700,"Census Tract 907",2064,602,1462
2024,25025090901,"Census Tract 909.01",1244,492,752
2024,25025091001,"Census Tract 910.01",1556,514,1041
2024,25025091100,"Census Tract 911",1948,448,1500
2024,25025091200,"Census Tract 912",1160,356,804
2024,25025091300,"Census Tract 913",998,396,602
2024,25025091400,"Census Tract 914",1071,378,693
2024,25025091500,"Census Tract 915",1714,534,1181
2024,25025091600,"Census Tract 916",1166,266,901
2024,25025091700,"Census Tract 917",1060,250,810
2024,25025091800,"Census Tract 918",1292,328,964
2024,25025091900,"Census Tract 919",1469,387,1082
2024,25025092000,"Census Tract 920",1875,550,1326
2024,25025092101,"Census Tract 921.01",2568,556,2012
2024,25025092200,"Census Tract 922",1415,411,1004
2024,25025092300,"Census Tract 923",1142,380,762
2024,25025092400,"Census Tract 924",1990,675,1315
2024,25025100100,"Census Tract 1001",1851,751,1100
2024,25025100200,"Census Tract 1002",1006,292,714
2024,25025100300,"Census Tract 1003",1387,168,1220
2024,25025100400,"Census Tract 1004",1985,637,1348
2024,25025100500,"Census Tract 1005",2419,755,1664
2024,25025100601,"Census Tract 1006.01",2056,59,1997
2024,25025100603,"Census Tract 1006.03",866,57,809
2024,25025100700,"Census Tract 1007",1853,165,1688
2024,25025100800,"Census Tract 1008",2486,562,1924
2024,25025100900,"Census Tract 1009",1704,322,1383
2024,25025101001,"Census Tract 1010.01",2339,463,1876
2024,25025101002,"Census Tract 1010.02",2196,766,1431
2024,25025101101,"Census Tract 1011.01",1297,262,1035
2024,25025101102,"Census Tract 1011.02",1588,563,1025
2024,25025110104,"Census Tract 1101.04",738,240,498
2024,25025110105,"Census Tract 1101.05",1142,202,940
2024,25025110106,"Census Tract 1101.06",636,111,524
2024,25025110201,"Census Tract 1102.01",784,237,547
2024,25025110301,"Census Tract 1103.01",1029,107,922
2024,25025110401,"Census Tract 1104.01",1439,252,1186
2024,25025110403,"Census Tract 1104.03",1845,160,1685
2024,25025110501,"Census Tract 1105.01",1367,60,1307
2024,25025110502,"Census Tract 1105.02",1667,290,1377
2024,25025110601,"Census Tract 1106.01",1277,220,1057
2024,25025110607,"Census Tract 1106.07",2085,142,1944
2024,25025120103,"Census Tract 1201.03",788,41,747
2024,25025120104,"Census Tract 1201.04",1044,129,915
2024,25025120105,"Census Tract 1201.05",1147,75,1072
2024,25025120201,"Census Tract 1202.01",2097,540,1557
2024,25025120301,"Census Tract 1203.01",2203,612,1591
2024,25025120400,"Census Tract 1204",2839,682,2157
2024,25025120500,"Census Tract 1205",1048,300,748
2024,25025120600,"Census Tract 1206",1100,254,846
2024,25025120700,"Census Tract 1207",1000,197,803
2024,25025130101,"Census Tract 1301.01",2779,183,2596
2024,25025130200,"Census Tract 1302",2102,125,1977
2024,25025130300,"Census Tract 1303",1959,88,1871
2024,25025130402,"Census Tract 1304.02",2273,229,2044
2024,25025130404,"Census Tract 1304.04",1302,234,1068
2024,25025130406,"Census Tract 1304.06",2152,618,1534
2024,25025140102,"Census Tract 1401.02",1729,111,1618
2024,25025140105,"Census Tract 1401.05",1325,284,1040
2024,25025140106,"Census Tract 1401.06",831,191,640
2024,25025140107,"Census Tract 1401.07",1019,221,798
2024,25025140201,"Census Tract 1402.01",804,71,732
2024,25025140202,"Census Tract 1402.02",2048,101,1947
2024,25025140300,"Census Tract 1403",2524,626,1899
2024,25025140400,"Census Tract 1404",2978,611,2367
2024,25025980101,"Census Tract 9801.01",0,0,0
2024,25025980300,"Census Tract 9803",10,5,5
2024,25025980700,"Census Tract 9807",0,0,0
2024,25025980900,"Census Tract 9809",53,33,20
2024,25025981000,"Census Tract 9810",1,0,1
2024,25025981100,"Census Tract 9811",3,2,0
2024,25025981201,"Census Tract 9812.01",0,0,0
2024,25025981202,"Census Tract 9812.02",1,0,1
2024,25025981300,"Census Tract 9813",29,6,22
2024,25025981501,"Census Tract 9815.01",2,1,1
2024,25025981600,"Census Tract 9816",0,0,0
2024,25025981700,"Census Tract 9817",3,1,2
2024,25025981800,"Census Tract 9818",6,3,4
2024,25025981900,"Census Tract 9819",0,0,0
2024,25025990101,"Census Tract 9901.01",0,0,0
