GEOID,NAME,occ,vac,YEAR,landarea_acres
Brighton,Brighton,21342,352,2000,1736.324511
Charlestown,Charlestown,7350,405,2000,866.3393593
Chinatown,Chinatown,1126,58,2000,70.70623964
Dorchester,Dorchester,40589,2368,2000,4657.666107
Downtown,Downtown,3222,285,2000,414.2432607
East Boston,East Boston,14326,752,2000,3104.612739
Fenway,Fenway,11857,443,2000,848.7014714
Harbor Islands,Harbor Islands,0,0,2000,808.1126827
Hyde Park,Hyde Park,11619,400,2000,3187.05253
Jamaica Plain,Jamaica Plain,14584,794,2000,1990.583099
Longwood,Longwood,658,9,2000,125.3338263
Mattapan,Mattapan,8335,328,2000,1746.754335
Mission Hill,Mission Hill,5455,174,2000,384.9785704
North End,North End,5847,460,2000,121.5770832
Roslindale,Roslindale,11318,366,2000,1400.81718
Roxbury,Roxbury,15791,1641,2000,2217.508373
South Boston,South Boston,13812,973,2000,1132.00878
South Boston Waterfront,South Boston Waterfront,218,19,2000,829.1247946
South End,South End,12703,784,2000,540.9067611
West End,West End,2457,185,2000,174.3610166
West Roxbury,West Roxbury,12083,314,2000,3286.172429
Allston,Allston,9606,343,2010,881.6769432
Back Bay,Back Bay,9829,1510,2010,327.1692548
Beacon Hill,Beacon Hill,5450,563,2010,177.4767684
Brighton,Brighton,21004,959,2010,1736.324511
Charlestown,Charlestown,8033,615,2010,866.3393593
Chinatown,Chinatown,1478,205,2010,70.70623964
Dorchester,Dorchester,41237,3903,2010,4657.666107
Downtown,Downtown,4623,798,2010,414.2432607
East Boston,East Boston,14651,1203,2010,3104.612739
Fenway,Fenway,12883,669,2010,848.7014714
Harbor Islands,Harbor Islands,0,0,2010,808.1126827
Hyde Park,Hyde Park,11712,769,2010,3187.05253
Jamaica Plain,Jamaica Plain,15327,887,2010,1990.583099
Longwood,Longwood,395,21,2010,125.3338263
Mattapan,Mattapan,8349,763,2010,1746.754335
Mission Hill,Mission Hill,6125,237,2010,384.9785704
North End,North End,6065,659,2010,121.5770832
Roslindale,Roslindale,11273,769,2010,1400.81718
Roxbury,Roxbury,18180,1563,2010,2217.508373
South Boston,South Boston,15258,1277,2010,1132.00878
South Boston Waterfront,South Boston Waterfront,956,125,2010,829.1247946
South End,South End,14423,979,2010,540.9067611
West End,West End,2882,379,2010,174.3610166
West Roxbury,West Roxbury,12960,586,2010,3286.172429
Allston,Allston,10027,721,2020,881.6769432
Back Bay,Back Bay,10006,1518,2020,327.1692548
Beacon Hill,Beacon Hill,5485,552,2020,177.4767684
Brighton,Brighton,22535,1118,2020,1736.324511
Charlestown,Charlestown,8932,593,2020,866.3393593
Chinatown,Chinatown,2937,335,2020,70.70623964
Dorchester,Dorchester,44823,3142,2020,4657.666107
Downtown,Downtown,5384,1220,2020,414.2432607
East Boston,East Boston,16695,1321,2020,3104.612739
Fenway,Fenway,13277,1358,2020,848.7014714
Harbor Islands,Harbor Islands,0,0,2020,808.1126827
Hyde Park,Hyde Park,12471,578,2020,3187.05253
Jamaica Plain,Jamaica Plain,17396,1141,2020,1990.583099
Longwood,Longwood,317,49,2020,125.3338263
Mattapan,Mattapan,8822,525,2020,1746.754335
Mission Hill,Mission Hill,6668,287,2020,384.9785704
North End,North End,6314,518,2020,121.5770832
Roslindale,Roslindale,11682,595,2020,1400.81718
Roxbury,Roxbury,20025,1662,2020,2217.508373
South Boston,South Boston,17961,1179,2020,1132.00878
South Boston Waterfront,South Boston Waterfront,3624,998,2020,829.1247946
South End,South End,16152,1446,2020,540.9067611
West End,West End,4572,671,2020,174.3610166
West Roxbury,West Roxbury,13390,680,2020,3286.172429
Allston,Allston,10270,739,2021,881.6769432
Back Bay,Back Bay,10006,1518,2021,327.1692548
Beacon Hill,Beacon Hill,5526,556,2021,177.4767684
Brighton,Brighton,23274,1155,2021,1736.324511
Charlestown,Charlestown,9055,601,2021,866.3393593
Chinatown,Chinatown,2937,335,2021,70.70623964
Dorchester,Dorchester,45263,3173,2021,4657.666107
Downtown,Downtown,5746,1302,2021,414.2432607
East Boston,East Boston,17245,1365,2021,3104.612739
Fenway,Fenway,13595,1390,2021,848.7014714
Harbor Islands,Harbor Islands,0,0,2021,808.1126827
Hyde Park,Hyde Park,12509,580,2021,3187.05253
Jamaica Plain,Jamaica Plain,17749,1164,2021,1990.583099
Longwood,Longwood,317,49,2021,125.3338263
Mattapan,Mattapan,9020,537,2021,1746.754335
Mission Hill,Mission Hill,6818,293,2021,384.9785704
North End,North End,6340,520,2021,121.5770832
Roslindale,Roslindale,11766,599,2021,1400.81718
Roxbury,Roxbury,20305,1685,2021,2217.508373
South Boston,South Boston,18338,1204,2021,1132.00878
South Boston Waterfront,South Boston Waterfront,4074,1122,2021,829.1247946
South End,South End,16842,1508,2021,540.9067611
West End,West End,4982,731,2021,174.3610166
West Roxbury,West Roxbury,13468,684,2021,3286.172429
Allston,Allston,10387,747,2022,881.6769432
Back Bay,Back Bay,9990,1515,2022,327.1692548
Beacon Hill,Beacon Hill,5520,555,2022,177.4767684
Brighton,Brighton,23574,1170,2022,1736.324511
Charlestown,Charlestown,9062,601,2022,866.3393593
Chinatown,Chinatown,3087,352,2022,70.70623964
Dorchester,Dorchester,45438,3185,2022,4657.666107
Downtown,Downtown,5746,1302,2022,414.2432607
East Boston,East Boston,17732,1404,2022,3104.612739
Fenway,Fenway,14006,1432,2022,848.7014714
Harbor Islands,Harbor Islands,0,0,2022,808.1126827
Hyde Park,Hyde Park,12531,581,2022,3187.05253
Jamaica Plain,Jamaica Plain,17932,1176,2022,1990.583099
