"GEOID","NAME","native","foreign","YEAR"
"Fenway","Fenway",23604,6552,2000
"Harbor Islands","Harbor Islands",586,52,2000
"Hyde Park","Hyde Park",23634,8378,2000
"Jamaica Plain","Jamaica Plain",28672,8068,2000
"Longwood","Longwood",3414,494,2000
"Mattapan","Mattapan",16630,7670,2000
"Mission Hill","Mission Hill",9486,4227,2000
"North End","North End",8331,1156,2000
"Roslindale","Roslindale",22636,7691,2000
"Roxbury","Roxbury",34111,8356,2000
"South Boston","South Boston",25870,3663,2000
"South Boston Waterfront","South Boston Waterfront",351,54,2000
"South End","South End",19316,4889,2000
"West End","West End",3770,934,2000
"West Roxbury","West Roxbury",23734,4929,2000
"Allston","Allston",15474,7810,2010
"Back Bay","Back Bay",14816,3063,2010
"Beacon Hill","Beacon Hill",7967,1163,2010
"Brighton","Brighton",31881,13021,2010
"Charlestown","Charlestown",14289,2313,2010
"Chinatown","Chinatown",1943,1875,2010
"Dorchester","Dorchester",75708,34247,2010
"Downtown","Downtown",6020,3340,2010
"East Boston","East Boston",20328,20621,2010
"Fenway","Fenway",24734,7601,2010
"Harbor Islands","Harbor Islands",589,200,2010
"Hyde Park","Hyde Park",22751,9685,2010
"Jamaica Plain","Jamaica Plain",28816,7945,2010
"Longwood","Longwood",5501,443,2010
"Mattapan","Mattapan",15591,8585,2010
"Mission Hill","Mission Hill",11439,3788,2010
"North End","North End",8583,1104,2010
"Roslindale","Roslindale",20872,8497,2010
"Roxbury","Roxbury",33299,10522,2010
"South Boston","South Boston",27067,3556,2010
"South Boston Waterfront","South Boston Waterfront",1221,167,2010
"South End","South End",22672,6859,2010
"West End","West End",4351,1052,2010
"West Roxbury","West Roxbury",23072,6168,2010
"Allston","Allston",20567,9102,2020
"Back Bay","Back Bay",14765,4119,2020
"Beacon Hill","Beacon Hill",8143,1298,2020
"Brighton","Brighton",38304,14613,2020
"Charlestown","Charlestown",16644,2845,2020
"Chinatown","Chinatown",3081,3348,2020
"Dorchester","Dorchester",83657,40939,2020
"Downtown","Downtown",10040,4217,2020
"East Boston","East Boston",24908,19327,2020
"Fenway","Fenway",29497,10639,2020
"Hyde Park","Hyde Park",23880,10269,2020
"Jamaica Plain","Jamaica Plain",32730,8970,2020
