"YEAR","GEOID","NAME","total_occupied_units","no_vehicles","one_vehicle","two_vehicles","three_or_more_vehicles"
1980,"Harbor Islands","Harbor Islands",0,0,0,0,0
1980,"Hyde Park","Hyde Park",10778,2256,5281,2621,620
1980,"Jamaica Plain","Jamaica Plain",13532,5328,5834,1951,419
1980,"Longwood","Longwood",461,350,101,10,0
1980,"Mattapan","Mattapan",7588,2229,3677,1459,223
1980,"Mission Hill","Mission Hill",4932,2473,2036,362,61
1980,"North End","North End",4700,2947,1491,244,18
1980,"Roslindale","Roslindale",10373,2598,4933,2257,585
1980,"Roxbury","Roxbury",15891,9096,5587,1061,147
1980,"South Boston","South Boston",12507,6667,4812,856,172
1980,"South Boston Waterfront","South Boston Waterfront",82,49,26,6,1
1980,"South End","South End",10052,5566,3902,445,139
1980,"West End","West End",2296,1165,1041,71,19
1980,"West Roxbury","West Roxbury",12113,1961,6311,3081,760
1980,"_Crews on Ships","_Crews on Ships",0,0,0,0,0
1990,"Allston","Allston",8868,3501,3699,1270,398
1990,"Back Bay","Back Bay",9670,4180,4487,920,83
1990,"Beacon Hill","Beacon Hill",5535,3096,1985,419,35
1990,"Brighton","Brighton",20559,6228,9184,3858,1289
1990,"Charlestown","Charlestown",6841,2270,3218,1167,186
1990,"Chinatown","Chinatown",1217,903,280,32,2
1990,"Dorchester","Dorchester",37745,13578,15715,6648,1804
1990,"Downtown","Downtown",2515,1508,883,107,17
1990,"East Boston","East Boston",13417,5653,5933,1470,361
1990,"Fenway","Fenway",11406,7053,3758,504,91
1990,"Harbor Islands","Harbor Islands",0,0,0,0,0
1990,"Hyde Park","Hyde Park",11406,2167,4866,3472,901
1990,"Jamaica Plain","Jamaica Plain",14291,4452,6314,2971,554
1990,"Longwood","Longwood",436,308,116,12,0
1990,"Mattapan","Mattapan",7742,2053,3545,1729,415
1990,"Mission Hill","Mission Hill",5591,2907,2178,445,61
1990,"North End","North End",5475,3014,2044,379,38
1990,"Roslindale","Roslindale",10628,2162,4347,3298,821
1990,"Roxbury","Roxbury",16202,8695,5751,1512,244
1990,"South Boston","South Boston",12924,5379,5639,1620,286
1990,"South Boston Waterfront","South Boston Waterfront",143,44,83,14,2
1990,"South End","South End",11263,5479,4654,1003,127
1990,"West End","West End",2132,1100,911,97,24
1990,"West Roxbury","West Roxbury",12458,1821,5514,3937,1186
1990,"_Crews on Ships","_Crews on Ships",0,0,0,0,0
2000,"Allston","Allston",9164,3627,3971,1136,430
2000,"Back Bay","Back Bay",10053,4043,5104,809,97
2000,"Beacon Hill","Beacon Hill",5620,2745,2382,427,66
2000,"Brighton","Brighton",21341,6273,9231,4375,1462
2000,"Charlestown","Charlestown",7350,1948,3788,1475,139
2000,"Chinatown","Chinatown",1118,786,290,39,3
2000,"Dorchester","Dorchester",40654,13416,18114,7267,1857
2000,"Downtown","Downtown",3230,1872,1132,214,12
2000,"East Boston","East Boston",14326,5825,6378,1722,401
2000,"Fenway","Fenway",11857,7366,3877,542,72
2000,"Harbor Islands","Harbor Islands",0,0,0,0,0
2000,"Hyde Park","Hyde Park",11619,2078,5078,3330,1133
2000,"Jamaica Plain","Jamaica Plain",14585,3831,7026,3165,563
2000,"Longwood","Longwood",658,433,195,30,0
2000,"Mattapan","Mattapan",8335,2158,4016,1623,538
2000,"Mission Hill","Mission Hill",5455,2579,2284,493,99
2000,"North End","North End",5847,3092,2295,399,61
2000,"Roslindale","Roslindale",11360,2170,5152,3243,795
2000,"Roxbury","Roxbury",15726,6772,6927,1588,439
2000,"South Boston","South Boston",13816,4419,6581,2460,356
2000,"South Boston Waterfront","South Boston Waterfront",214,68,109,34,3
2000,"South End","South End",12703,5186,6066,1288,163
2000,"West End","West End",2457,1261,1100,95,1
2000,"West Roxbury","West Roxbury",12040,1660,5173,4361,846
2010,"Allston","Allston",9267,4641,3214,1048,364
2010,"Back Bay","Back Bay",9770,4345,4258,1080,87
2010,"Beacon Hill","Beacon Hill",5436,3353,1585,446,52
2010,"Brighton","Brighton",20463,6511,8521,3784,1647
2010,"Charlestown","Charlestown",7864,1874,4145,1690,155
2010,"Chinatown","Chinatown",1497,976,428,66,27
2010,"Dorchester","Dorchester",39850,12588,16644,8268,2350
2010,"Downtown","Downtown",4544,2705,1488,290,61
2010,"East Boston","East Boston",14685,5468,6492,2226,499
2010,"Fenway","Fenway",12059,7994,3429,544,92
2010,"Harbor Islands","Harbor Islands",0,0,0,0,0
2010,"Hyde Park","Hyde Park",11717,1872,5125,3570,1150
2010,"Jamaica Plain","Jamaica Plain",15148,3880,7393,3402,473
2010,"Longwood","Longwood",280,223,50,7,0
2010,"Mattapan","Mattapan",8315,2248,3545,1947,575
2010,"Mission Hill","Mission Hill",5972,3143,2212,492,125
2010,"North End","North End",5799,3520,1923,257,99
2010,"Roslindale","Roslindale",11165,2047,4967,3277,874
2010,"Roxbury","Roxbury",17171,7662,7200,1854,455
2010,"South Boston","South Boston",14554,3919,7056,3067,512
2010,"South Boston Waterfront","South Boston Waterfront",830,271,466,86,7
2010,"South End","South End",14467,6481,6552,1203,231
2010,"West End","West End",2636,1309,1241,86,0
2010,"West Roxbury","West Roxbury",12208,1174,5364,4606,1064
2020,"Allston","Allston",8040,3921,2561,1292,266
2020,"Back Bay","Back Bay",10111,4979,4106,905,121
2020,"Beacon Hill","Beacon Hill",5342,2772,2214,292,64
2020,"Brighton","Brighton",21002,6182,8843,4340,1637
2020,"Charlestown","Charlestown",9390,2063,5165,1968,194
2020,"Chinatown","Chinatown",2090,1534,528,28,0
2020,"Dorchester","Dorchester",44979,12634,19009,10098,3238
2020,"Downtown","Downtown",5019,2480,2127,386,26
2020,"East Boston","East Boston",17123,6465,6977,3096,585
2020,"Fenway","Fenway",11239,6667,3920,566,86
2020,"Harbor Islands","Harbor Islands",0,0,0,0,0
2020,"Hyde Park","Hyde Park",13263,2146,4950,4223,1944
2020,"Jamaica Plain","Jamaica Plain",18114,4636,8853,3654,971
2020,"Longwood","Longwood",263,214,32,17,0
2020,"Mattapan","Mattapan",9214,2497,3936,1964,817
2020,"Mission Hill","Mission Hill",6312,3610,2379,215,108
2020,"North End","North End",5883,3006,2170,648,59
2020,"Roslindale","Roslindale",12150,1685,5651,3738,1076
2020,"Roxbury","Roxbury",20681,9101,8275,2484,821
2020,"South Boston","South Boston",17109,4676,8048,3733,652
2020,"South Boston Waterfront","South Boston Waterfront",2572,967,1296,285,24
2020,"South End","South End",15974,5751,7803,2211,209
2020,"West End","West End",3450,1988,1295,127,40
2020,"West Roxbury","West Roxbury",13868,1475,5951,4964,1478
2020,"_Boston Harbor","_Boston Harbor",0,0,0,0,0
