"YEAR","hh","gq_adj","hu","GEOID","NAME"
2000,5456,1482,3222,"Downtown","Downtown"
2000,38032,381,14326,"East Boston","East Boston"
2000,19326,10830,11857,"Fenway","Fenway"
2000,0,640,0,"Harbor Islands","Harbor Islands"
2000,31614,396,11619,"Hyde Park","Hyde Park"
2000,35156,1583,14585,"Jamaica Plain","Jamaica Plain"
2000,1498,2410,658,"Longwood","Longwood"
2000,24085,215,8335,"Mattapan","Mattapan"
2000,12054,1658,5455,"Mission Hill","Mission Hill"
2000,9178,309,5847,"North End","North End"
2000,29124,1113,11318,"Roslindale","Roslindale"
2000,40501,2074,15791,"Roxbury","Roxbury"
2000,29019,488,13811,"South Boston","South Boston"
2000,403,28,217,"South Boston Waterfront","South Boston Waterfront"
2000,22861,1348,12703,"South End","South End"
2000,3700,1003,2457,"West End","West End"
2000,28019,734,12083,"West Roxbury","West Roxbury"
2010,21271,5442,9606,"Allston","Allston"
2010,15206,1416,9829,"Back Bay","Back Bay"
2010,9017,6,5450,"Beacon Hill","Beacon Hill"
2010,44133,4152,21004,"Brighton","Brighton"
2010,16313,126,8033,"Charlestown","Charlestown"
2010,2897,1167,1478,"Chinatown","Chinatown"
2010,112942,1307,41237,"Dorchester","Dorchester"
2010,7927,2472,4623,"Downtown","Downtown"
2010,40279,229,14651,"East Boston","East Boston"
2010,20671,13224,12837,"Fenway","Fenway"
2010,0,535,0,"Harbor Islands","Harbor Islands"
2010,32022,295,11712,"Hyde Park","Hyde Park"
2010,35366,1073,15373,"Jamaica Plain","Jamaica Plain"
2010,696,4165,395,"Longwood","Longwood"
2010,22125,375,8349,"Mattapan","Mattapan"
2010,14143,1747,6125,"Mission Hill","Mission Hill"
2010,9756,381,6065,"North End","North End"
2010,28061,407,11274,"Roslindale","Roslindale"
2010,44922,4430,18180,"Roxbury","Roxbury"
2010,31332,453,15257,"South Boston","South Boston"
2010,1674,215,956,"South Boston Waterfront","South Boston Waterfront"
2010,26361,995,14423,"South End","South End"
2010,4479,944,2882,"West End","West End"
2010,29787,658,12960,"West Roxbury","West Roxbury"
2020,23757.851527,5910,10027,"Allston","Allston"
2020,16898.442654,1985,10006,"Back Bay","Back Bay"
2020,9408.772327,33,5483,"Beacon Hill","Beacon Hill"
2020,48841.52921,4074,22535,"Brighton","Brighton"
