"YEAR","GEOID","NAME","feara","fireprof","hced","other","prodcon","retail","x"
2015,"Zip Code 02210","Zip Code 02210",91,548,42,75,171,42,1
2015,"Zip Code 02215","Zip Code 02215",147,160,69,74,23,57,1
2015,"Zip Codes 02108-10","Zip Codes 02108-10",401,2984,177,367,209,245,10
2016,"Zip Code 02111","Zip Code 02111",157,457,128,134,70,74,3
2016,"Zip Code 02113","Zip Code 02113",81,25,10,26,13,30,0
2016,"Zip Code 02114","Zip Code 02114",119,290,107,80,35,69,3
2016,"Zip Code 02115","Zip Code 02115",185,171,63,77,13,92,2
2016,"Zip Code 02116","Zip Code 02116",300,1132,176,264,87,367,7
2016,"Zip Code 02118","Zip Code 02118",119,274,105,74,124,111,2
2016,"Zip Code 02119","Zip Code 02119",47,91,114,64,67,68,2
2016,"Zip Code 02120","Zip Code 02120",24,44,56,22,10,19,1
2016,"Zip Code 02121","Zip Code 02121",23,40,36,34,20,34,2
2016,"Zip Code 02122","Zip Code 02122",60,121,96,69,96,100,1
2016,"Zip Code 02124","Zip Code 02124",57,99,121,108,85,96,4
2016,"Zip Code 02125","Zip Code 02125",68,113,63,63,65,82,2
2016,"Zip Code 02126","Zip Code 02126",37,36,36,31,22,41,3
2016,"Zip Code 02127","Zip Code 02127",101,222,51,83,137,80,2
2016,"Zip Code 02128","Zip Code 02128",146,162,52,89,209,117,1
2016,"Zip Code 02129","Zip Code 02129",53,201,44,55,102,37,0
2016,"Zip Code 02130","Zip Code 02130",109,164,143,102,64,77,5
2016,"Zip Code 02131","Zip Code 02131",65,100,59,56,60,82,3
2016,"Zip Code 02132","Zip Code 02132",59,138,89,88,76,66,5
2016,"Zip Code 02134","Zip Code 02134",125,168,65,53,62,90,3
2016,"Zip Code 02135","Zip Code 02135",118,190,109,77,102,87,5
2016,"Zip Code 02136","Zip Code 02136",40,95,72,65,124,65,2
2016,"Zip Code 02210","Zip Code 02210",93,571,44,70,166,45,2
2016,"Zip Code 02215","Zip Code 02215",186,165,71,74,20,63,1
2016,"Zip Codes 02108-10","Zip Codes 02108-10",404,2990,182,353,217,253,14
2017,"Zip Code 02111","Zip Code 02111",159,485,127,136,66,77,14
2017,"Zip Code 02113","Zip Code 02113",80,25,9,28,10,24,4
2017,"Zip Code 02114","Zip Code 02114",126,301,115,77,32,72,9
2017,"Zip Code 02115","Zip Code 02115",191,194,60,78,13,91,6
2017,"Zip Code 02116","Zip Code 02116",292,1150,183,256,73,350,20
2017,"Zip Code 02118","Zip Code 02118",120,265,110,78,111,113,1
2017,"Zip Code 02119","Zip Code 02119",46,95,107,63,63,69,6
2017,"Zip Code 02120","Zip Code 02120",29,41,57,24,4,16,9
2017,"Zip Code 02121","Zip Code 02121",29,42,34,33,19,31,8
2017,"Zip Code 02122","Zip Code 02122",65,123,84,71,97,95,0
2017,"Zip Code 02124","Zip Code 02124",62,96,120,108,86,91,6
2017,"Zip Code 02125","Zip Code 02125",76,115,63,75,61,84,4
2017,"Zip Code 02126","Zip Code 02126",38,40,36,33,28,43,8
2017,"Zip Code 02127","Zip Code 02127",104,227,58,83,128,77,4
2017,"Zip Code 02128","Zip Code 02128",156,169,52,89,198,115,1
2017,"Zip Code 02129","Zip Code 02129",54,209,43,55,95,44,1
2017,"Zip Code 02130","Zip Code 02130",108,160,146,94,55,77,5
2017,"Zip Code 02131","Zip Code 02131",73,110,62,62,65,86,0
2017,"Zip Code 02132","Zip Code 02132",62,142,87,82,72,65,2
2017,"Zip Code 02134","Zip Code 02134",132,164,66,48,61,97,6
2017,"Zip Code 02135","Zip Code 02135",119,196,109,84,98,87,5
2017,"Zip Code 02136","Zip Code 02136",36,84,72,64,120,62,10
2017,"Zip Code 02210","Zip Code 02210",110,629,38,59,156,55,3
2017,"Zip Code 02215","Zip Code 02215",162,166,76,73,23,62,8
2017,"Zip Codes 02108-10","Zip Codes 02108-10",389,3035,193,343,207,232,25
2018,"Zip Code 02111","Zip Code 02111",158,488,129,135,69,75,16
2018,"Zip Code 02113","Zip Code 02113",84,25,9,25,11,23,4
2018,"Zip Code 02114","Zip Code 02114",131,306,113,79,34,64,11
2018,"Zip Code 02115","Zip Code 02115",187,193,67,82,13,87,8
2018,"Zip Code 02116","Zip Code 02116",300,1177,194,265,78,335,27
2018,"Zip Code 02118","Zip Code 02118",121,278,117,81,110,105,2
2018,"Zip Code 02119","Zip Code 02119",48,102,99,63,64,67,8
2018,"Zip Code 02120","Zip Code 02120",29,42,56,24,4,17,8
2018,"Zip Code 02121","Zip Code 02121",27,45,38,33,15,33,8
2018,"Zip Code 02122","Zip Code 02122",61,119,96,77,101,94,0
2018,"Zip Code 02124","Zip Code 02124",61,100,125,109,92,90,6
2018,"Zip Code 02125","Zip Code 02125",70,120,66,64,64,85,5
2018,"Zip Code 02126","Zip Code 02126",37,41,37,29,27,43,6
2018,"Zip Code 02127","Zip Code 02127",106,225,61,79,123,74,4
2018,"Zip Code 02128","Zip Code 02128",155,189,54,88,215,108,1
2018,"Zip Code 02129","Zip Code 02129",50,225,53,57,96,40,2
2018,"Zip Code 02130","Zip Code 02130",116,171,149,93,56,80,7
2018,"Zip Code 02131","Zip Code 02131",75,107,64,64,66,80,1
2018,"Zip Code 02132","Zip Code 02132",63,156,97,83,71,60,2
2018,"Zip Code 02134","Zip Code 02134",130,169,61,52,62,92,13
2018,"Zip Code 02135","Zip Code 02135",119,192,106,79,96,84,4
2018,"Zip Code 02136","Zip Code 02136",34,84,69,66,122,61,11
2018,"Zip Code 02210","Zip Code 02210",118,631,46,71,160,55,11
2018,"Zip Code 02215","Zip Code 02215",156,166,82,70,21,58,10
2018,"Zip Codes 02108-10","Zip Codes 02108-10",388,3065,212,351,214,221,33
