"YEAR","GEOID","NAME","feara","fireprof","hced","other","prodcon","retail","x"
2003,"Zip Code 02127","Zip Code 02127",88,152,45,81,171,63,23
2003,"Zip Code 02128","Zip Code 02128",103,142,58,92,195,95,27
2003,"Zip Code 02129","Zip Code 02129",47,170,28,46,101,30,5
2003,"Zip Code 02130","Zip Code 02130",86,161,154,92,64,72,45
2003,"Zip Code 02131","Zip Code 02131",49,83,63,68,64,76,39
2003,"Zip Code 02132","Zip Code 02132",49,124,61,61,79,72,16
2003,"Zip Code 02134","Zip Code 02134",93,154,46,55,79,93,14
2003,"Zip Code 02135","Zip Code 02135",92,216,127,94,102,92,38
2003,"Zip Code 02136","Zip Code 02136",33,85,49,58,131,64,25
2003,"Zip Code 02210","Zip Code 02210",45,392,15,38,191,29,2
2003,"Zip Code 02215","Zip Code 02215",153,173,100,74,29,77,12
2003,"Zip Codes 02108-10","Zip Codes 02108-10",321,2936,155,299,171,297,29
2004,"Zip Code 02111","Zip Code 02111",113,373,97,138,71,86,5
2004,"Zip Code 02113","Zip Code 02113",75,29,13,15,12,30,0
2004,"Zip Code 02114","Zip Code 02114",100,326,122,70,45,71,6
2004,"Zip Code 02115","Zip Code 02115",162,175,76,76,15,88,7
2004,"Zip Code 02116","Zip Code 02116",307,968,183,208,82,393,28
2004,"Zip Code 02118","Zip Code 02118",88,230,89,60,155,86,4
2004,"Zip Code 02119","Zip Code 02119",46,61,70,54,75,71,6
2004,"Zip Code 02120","Zip Code 02120",19,41,63,17,3,16,0
2004,"Zip Code 02121","Zip Code 02121",19,20,41,24,28,27,5
2004,"Zip Code 02122","Zip Code 02122",53,113,64,67,88,87,4
2004,"Zip Code 02124","Zip Code 02124",50,91,122,87,71,82,8
2004,"Zip Code 02125","Zip Code 02125",52,79,52,49,74,76,4
2004,"Zip Code 02126","Zip Code 02126",31,32,38,32,42,44,7
2004,"Zip Code 02127","Zip Code 02127",95,154,51,82,174,65,5
2004,"Zip Code 02128","Zip Code 02128",101,138,56,86,201,92,4
2004,"Zip Code 02129","Zip Code 02129",49,169,24,53,107,32,2
2004,"Zip Code 02130","Zip Code 02130",91,152,139,81,73,71,13
2004,"Zip Code 02131","Zip Code 02131",51,92,61,69,71,77,6
2004,"Zip Code 02132","Zip Code 02132",48,124,64,59,80,74,6
2004,"Zip Code 02134","Zip Code 02134",94,164,45,55,79,92,9
2004,"Zip Code 02135","Zip Code 02135",95,208,123,95,104,91,10
2004,"Zip Code 02136","Zip Code 02136",35,87,51,59,127,55,2
2004,"Zip Code 02210","Zip Code 02210",40,380,12,43,194,27,4
2004,"Zip Code 02215","Zip Code 02215",152,171,90,69,31,81,5
2004,"Zip Codes 02108-10","Zip Codes 02108-10",315,2970,147,295,180,305,42
2005,"Zip Code 02111","Zip Code 02111",101,382,108,142,72,84,6
2005,"Zip Code 02113","Zip Code 02113",75,31,13,18,10,36,0
2005,"Zip Code 02114","Zip Code 02114",89,319,120,71,41,69,2
2005,"Zip Code 02115","Zip Code 02115",162,161,73,70,15,80,2
2005,"Zip Code 02116","Zip Code 02116",299,974,189,197,78,394,11
2005,"Zip Code 02118","Zip Code 02118",90,224,85,57,158,89,4
2005,"Zip Code 02119","Zip Code 02119",46,67,68,54,72,69,2
2005,"Zip Code 02120","Zip Code 02120",19,40,61,17,6,15,2
2005,"Zip Code 02121","Zip Code 02121",23,38,39,24,29,24,5
2005,"Zip Code 02122","Zip Code 02122",58,107,67,61,91,83,6
2005,"Zip Code 02124","Zip Code 02124",53,102,114,87,72,80,3
2005,"Zip Code 02125","Zip Code 02125",50,87,54,48,73,78,2
2005,"Zip Code 02126","Zip Code 02126",31,37,31,31,37,48,6
2005,"Zip Code 02127","Zip Code 02127",97,154,54,81,168,67,2
2005,"Zip Code 02128","Zip Code 02128",110,153,54,79,197,85,1
2005,"Zip Code 02129","Zip Code 02129",51,185,28,51,95,32,3
2005,"Zip Code 02130","Zip Code 02130",91,147,137,73,74,66,9
2005,"Zip Code 02131","Zip Code 02131",55,98,56,72,70,77,3
2005,"Zip Code 02132","Zip Code 02132",54,121,69,61,89,77,1
2005,"Zip Code 02134","Zip Code 02134",93,151,47,54,79,95,2
2005,"Zip Code 02135","Zip Code 02135",96,214,132,85,101,85,4
2005,"Zip Code 02136","Zip Code 02136",37,82,55,57,131,55,3
2005,"Zip Code 02210","Zip Code 02210",41,371,13,46,182,26,0
2005,"Zip Code 02215","Zip Code 02215",157,158,90,72,29,77,1
2005,"Zip Codes 02108-10","Zip Codes 02108-10",316,2910,150,299,178,284,17
2006,"Zip Code 02111","Zip Code 02111",104,406,109,135,65,82,4
2006,"Zip Code 02113","Zip Code 02113",76,22,13,15,12,33,2
2006,"Zip Code 02114","Zip Code 02114",84,323,118,69,35,65,3
2006,"Zip Code 02115","Zip Code 02115",155,167,71,72,16,81,2
2006,"Zip Code 02116","Zip Code 02116",288,1009,177,201,79,407,16
2006,"Zip Code 02118","Zip Code 02118",90,242,88,60,155,83,4
2006,"Zip Code 02119","Zip Code 02119",47,70,63,53,67,73,5
2006,"Zip Code 02120","Zip Code 02120",20,42,61,17,8,16,0
2006,"Zip Code 02121","Zip Code 02121",19,37,42,24,27,22,3
2006,"Zip Code 02122","Zip Code 02122",60,105,60,58,84,86,4
2006,"Zip Code 02124","Zip Code 02124",47,97,107,90,70,76,4
2006,"Zip Code 02125","Zip Code 02125",56,95,50,49,74,78,1
2006,"Zip Code 02126","Zip Code 02126",30,44,31,30,33,49,3
2006,"Zip Code 02127","Zip Code 02127",83,148,54,86,159,64,4
2006,"Zip Code 02128","Zip Code 02128",113,144,57,78,200,94,1
2006,"Zip Code 02129","Zip Code 02129",51,182,30,49,91,31,2
2006,"Zip Code 02130","Zip Code 02130",92,153,136,73,73,64,6
2006,"Zip Code 02131","Zip Code 02131",54,88,58,70,66,81,6
2006,"Zip Code 02132","Zip Code 02132",47,128,71,63,90,75,0
2006,"Zip Code 02134","Zip Code 02134",96,144,46,57,80,95,1
2006,"Zip Code 02135","Zip Code 02135",98,217,130,75,103,85,5
2006,"Zip Code 02136","Zip Code 02136",31,79,48,59,126,53,1
2006,"Zip Code 02210","Zip Code 02210",44,364,14,46,182,26,3
2006,"Zip Code 02215","Zip Code 02215",154,169,78,89,30,77,2
2006,"Zip Codes 02108-10","Zip Codes 02108-10",314,2942,159,302,189,268,19
2007,"Zip Code 02111","Zip Code 02111",112,406,109,122,64,87,4
2007,"Zip Code 02113","Zip Code 02113",77,22,11,14,10,32,0
2007,"Zip Code 02114","Zip Code 02114",98,303,114,63,29,69,3
2007,"Zip Code 02115","Zip Code 02115",163,160,66,67,16,79,1
2007,"Zip Code 02116","Zip Code 02116",289,980,170,218,80,425,4
2007,"Zip Code 02118","Zip Code 02118",98,236,92,55,142,92,0
2007,"Zip Code 02119","Zip Code 02119",49,76,72,60,68,77,2
2007,"Zip Code 02120","Zip Code 02120",24,41,63,17,7,16,0
2007,"Zip Code 02121","Zip Code 02121",21,36,35,23,29,28,0
2007,"Zip Code 02122","Zip Code 02122",51,107,63,54,81,86,0
2007,"Zip Code 02124","Zip Code 02124",56,93,104,96,75,77,2
2007,"Zip Code 02125","Zip Code 02125",55,93,54,51,68,70,1
2007,"Zip Code 02126","Zip Code 02126",27,44,35,31,33,44,0
2007,"Zip Code 02127","Zip Code 02127",95,156,48,85,159,71,0
2007,"Zip Code 02128","Zip Code 02128",118,148,57,78,203,89,2
2007,"Zip Code 02129","Zip Code 02129",46,182,32,49,101,30,0
2007,"Zip Code 02130","Zip Code 02130",85,142,137,67,79,75,2
2007,"Zip Code 02131","Zip Code 02131",59,93,55,58,58,78,1
2007,"Zip Code 02132","Zip Code 02132",53,124,73,70,84,59,0
2007,"Zip Code 02134","Zip Code 02134",104,147,50,58,85,86,0
2007,"Zip Code 02135","Zip Code 02135",99,218,136,79,110,87,1
2007,"Zip Code 02136","Zip Code 02136",30,85,43,52,128,48,2
2007,"Zip Code 02210","Zip Code 02210",50,360,17,39,178,36,1
2007,"Zip Code 02215","Zip Code 02215",149,174,70,79,29,78,0
2007,"Zip Codes 02108-10","Zip Codes 02108-10",317,2916,162,303,180,267,10
2008,"Zip Code 02111","Zip Code 02111",110,397,113,128,67,81,5
2008,"Zip Code 02113","Zip Code 02113",77,23,12,16,12,31,0
2008,"Zip Code 02114","Zip Code 02114",95,291,114,70,35,68,4
2008,"Zip Code 02115","Zip Code 02115",170,166,64,97,12,78,2
2008,"Zip Code 02116","Zip Code 02116",284,1034,168,221,74,428,5
2008,"Zip Code 02118","Zip Code 02118",101,240,91,53,146,84,3
2008,"Zip Code 02119","Zip Code 02119",44,78,69,56,71,77,1
2008,"Zip Code 02120","Zip Code 02120",21,34,63,20,6,17,2
2008,"Zip Code 02121","Zip Code 02121",18,31,33,29,26,26,0
2008,"Zip Code 02122","Zip Code 02122",52,99,64,57,80,86,0
2008,"Zip Code 02124","Zip Code 02124",55,93,101,94,64,79,3
2008,"Zip Code 02125","Zip Code 02125",63,94,57,50,73,79,0
2008,"Zip Code 02126","Zip Code 02126",27,43,36,33,39,42,0
2008,"Zip Code 02127","Zip Code 02127",92,170,50,91,158,66,1
2008,"Zip Code 02128","Zip Code 02128",130,158,57,79,198,99,0
2008,"Zip Code 02129","Zip Code 02129",50,186,29,48,94,33,0
2008,"Zip Code 02130","Zip Code 02130",84,140,133,70,81,70,6
2008,"Zip Code 02131","Zip Code 02131",55,89,53,54,59,78,1
2008,"Zip Code 02132","Zip Code 02132",52,125,71,70,79,55,1
2008,"Zip Code 02134","Zip Code 02134",105,150,50,56,74,87,0
2008,"Zip Code 02135","Zip Code 02135",105,207,126,76,104,86,1
2008,"Zip Code 02136","Zip Code 02136",29,83,46,52,128,48,0
2008,"Zip Code 02210","Zip Code 02210",56,366,23,32,172,45,0
2008,"Zip Code 02215","Zip Code 02215",157,178,65,90,27,65,0
2008,"Zip Codes 02108-10","Zip Codes 02108-10",336,2899,169,287,185,253,12
2009,"Zip Code 02111","Zip Code 02111",130,393,109,119,60,79,5
2009,"Zip Code 02113","Zip Code 02113",79,20,12,20,11,27,0
2009,"Zip Code 02114","Zip Code 02114",97,284,106,69,37,65,3
2009,"Zip Code 02115","Zip Code 02115",175,156,67,95,13,79,1
2009,"Zip Code 02116","Zip Code 02116",284,1005,176,218,70,407,9
2009,"Zip Code 02118","Zip Code 02118",100,242,90,61,142,93,2
2009,"Zip Code 02119","Zip Code 02119",47,79,76,52,66,75,1
2009,"Zip Code 02120","Zip Code 02120",23,36,60,20,7,16,1
2009,"Zip Code 02121","Zip Code 02121",19,36,35,31,25,25,0
2009,"Zip Code 02122","Zip Code 02122",53,96,59,59,85,83,1
2009,"Zip Code 02124","Zip Code 02124",54,85,100,99,68,77,2
2009,"Zip Code 02125","Zip Code 02125",62,88,56,56,61,78,1
2009,"Zip Code 02126","Zip Code 02126",29,36,37,32,38,44,0
2009,"Zip Code 02127","Zip Code 02127",98,165,49,93,148,69,1
2009,"Zip Code 02128","Zip Code 02128",132,150,58,77,204,101,0
2009,"Zip Code 02129","Zip Code 02129",47,177,32,45,95,31,3
2009,"Zip Code 02130","Zip Code 02130",74,129,133,74,75,71,8
2009,"Zip Code 02131","Zip Code 02131",49,86,60,55,59,76,1
2009,"Zip Code 02132","Zip Code 02132",56,122,74,73,60,56,5
2009,"Zip Code 02134","Zip Code 02134",104,129,47,53,70,89,0
2009,"Zip Code 02135","Zip Code 02135",102,206,130,74,100,86,3
2009,"Zip Code 02136","Zip Code 02136",33,79,48,52,127,53,0
2009,"Zip Code 02210","Zip Code 02210",59,373,22,36,166,42,2
2009,"Zip Code 02215","Zip Code 02215",168,172,68,94,28,63,0
2009,"Zip Codes 02108-10","Zip Codes 02108-10",337,2820,168,299,167,251,10
2010,"Zip Code 02111","Zip Code 02111",129,404,111,133,61,79,5
2010,"Zip Code 02113","Zip Code 02113",80,21,13,21,14,29,1
2010,"Zip Code 02114","Zip Code 02114",102,280,107,71,39,66,2
2010,"Zip Code 02115","Zip Code 02115",174,152,67,97,10,84,1
2010,"Zip Code 02116","Zip Code 02116",283,992,171,276,64,394,6
2010,"Zip Code 02118","Zip Code 02118",102,231,93,77,138,97,3
2010,"Zip Code 02119","Zip Code 02119",45,73,77,54,64,65,2
2010,"Zip Code 02120","Zip Code 02120",19,37,60,21,8,17,0
2010,"Zip Code 02121","Zip Code 02121",19,34,33,31,27,29,1
2010,"Zip Code 02122","Zip Code 02122",51,96,70,61,77,88,1
2010,"Zip Code 02124","Zip Code 02124",58,89,107,104,72,78,1
2010,"Zip Code 02125","Zip Code 02125",60,97,51,57,65,84,0
2010,"Zip Code 02126","Zip Code 02126",30,38,42,33,27,45,0
2010,"Zip Code 02127","Zip Code 02127",100,166,49,94,146,68,1
2010,"Zip Code 02128","Zip Code 02128",135,143,56,81,197,100,0
2010,"Zip Code 02129","Zip Code 02129",48,171,35,52,88,30,4
2010,"Zip Code 02130","Zip Code 02130",83,137,132,87,73,80,6
2010,"Zip Code 02131","Zip Code 02131",53,92,55,54,57,74,1
2010,"Zip Code 02132","Zip Code 02132",59,120,89,69,65,64,5
2010,"Zip Code 02134","Zip Code 02134",112,143,51,53,66,91,0
2010,"Zip Code 02135","Zip Code 02135",108,215,134,78,95,89,2
2010,"Zip Code 02136","Zip Code 02136",37,77,54,56,125,59,1
2010,"Zip Code 02210","Zip Code 02210",70,392,25,40,164,42,0
2010,"Zip Code 02215","Zip Code 02215",173,160,69,98,26,60,1
2010,"Zip Codes 02108-10","Zip Codes 02108-10",352,2749,160,342,172,262,10
2011,"Zip Code 02111","Zip Code 02111",124,382,110,138,59,85,4
2011,"Zip Code 02113","Zip Code 02113",84,20,12,21,14,30,1
2011,"Zip Code 02114","Zip Code 02114",105,278,96,73,36,64,2
2011,"Zip Code 02115","Zip Code 02115",181,158,67,100,11,91,1
2011,"Zip Code 02116","Zip Code 02116",285,989,170,273,69,392,9
2011,"Zip Code 02118","Zip Code 02118",104,244,95,80,140,92,4
2011,"Zip Code 02119","Zip Code 02119",49,72,81,62,59,65,0
2011,"Zip Code 02120","Zip Code 02120",17,36,57,23,8,15,0
2011,"Zip Code 02121","Zip Code 02121",17,32,37,28,27,27,3
2011,"Zip Code 02122","Zip Code 02122",53,97,71,61,75,88,3
2011,"Zip Code 02124","Zip Code 02124",54,94,105,99,68,79,4
2011,"Zip Code 02125","Zip Code 02125",63,104,55,59,59,83,0
2011,"Zip Code 02126","Zip Code 02126",27,39,44,39,25,44,0
2011,"Zip Code 02127","Zip Code 02127",93,174,50,89,142,68,2
2011,"Zip Code 02128","Zip Code 02128",127,132,53,84,199,113,1
2011,"Zip Code 02129","Zip Code 02129",51,167,33,52,89,32,5
2011,"Zip Code 02130","Zip Code 02130",87,133,131,84,73,74,4
2011,"Zip Code 02131","Zip Code 02131",59,91,62,51,54,76,3
2011,"Zip Code 02132","Zip Code 02132",55,127,89,74,54,69,5
2011,"Zip Code 02134","Zip Code 02134",115,153,53,53,73,91,1
2011,"Zip Code 02135","Zip Code 02135",111,202,129,75,89,88,1
2011,"Zip Code 02136","Zip Code 02136",42,73,55,64,124,56,2
2011,"Zip Code 02210","Zip Code 02210",73,424,24,44,163,39,1
2011,"Zip Code 02215","Zip Code 02215",167,157,73,99,23,58,1
2011,"Zip Codes 02108-10","Zip Codes 02108-10",359,2787,163,350,180,242,9
2012,"Zip Code 02111","Zip Code 02111",120,388,115,139,63,80,3
2012,"Zip Code 02113","Zip Code 02113",84,21,13,21,12,32,1
2012,"Zip Code 02114","Zip Code 02114",108,286,95,72,34,66,2
2012,"Zip Code 02115","Zip Code 02115",194,151,65,92,11,87,0
2012,"Zip Code 02116","Zip Code 02116",300,1038,164,274,63,392,4
2012,"Zip Code 02118","Zip Code 02118",105,245,98,74,130,98,0
2012,"Zip Code 02119","Zip Code 02119",43,70,104,58,66,63,0
2012,"Zip Code 02120","Zip Code 02120",18,37,50,21,9,20,0
2012,"Zip Code 02121","Zip Code 02121",23,35,35,28,24,29,2
2012,"Zip Code 02122","Zip Code 02122",58,95,73,60,78,93,1
