"GEOID","NAME","lhs","he","sc","bm","YEAR"
"East Boston","East Boston",9055,7755,3411,1992,1990
"Fenway","Fenway",1102,1332,2409,5874,1990
"Harbor Islands","Harbor Islands",623,232,83,27,1990
"Hyde Park","Hyde Park",4274,7517,4707,3909,1990
"Jamaica Plain","Jamaica Plain",6384,5318,4694,9286,1990
"Longwood","Longwood",188,166,141,178,1990
"Mattapan","Mattapan",3848,4720,4149,2071,1990
"Mission Hill","Mission Hill",2439,2000,1573,2327,1990
"North End","North End",1748,1282,1247,3020,1990
"Roslindale","Roslindale",4251,6345,4295,5133,1990
"Roxbury","Roxbury",9976,7044,5015,3330,1990
"South Boston","South Boston",5144,8341,3888,3305,1990
"South Boston Waterfront","South Boston Waterfront",37,42,69,89,1990
"South End","South End",4154,2276,3096,7638,1990
"West End","West End",364,310,501,1921,1990
"West Roxbury","West Roxbury",2867,6847,4572,8121,1990
"Allston","Allston",2249,2213,1511,5828,2000
"Back Bay","Back Bay",337,717,1287,10051,2000
"Beacon Hill","Beacon Hill",225,401,935,5859,2000
"Brighton","Brighton",3534,5160,4869,17279,2000
"Charlestown","Charlestown",1466,2341,1767,5820,2000
"Chinatown","Chinatown",1012,265,186,381,2000
"Dorchester","Dorchester",20297,21891,16152,12352,2000
"Downtown","Downtown",1628,701,523,2237,2000
"East Boston","East Boston",10009,8265,3954,2591,2000
"Fenway","Fenway",938,1094,1718,7410,2000
"Harbor Islands","Harbor Islands",285,168,133,40,2000
"Hyde Park","Hyde Park",4106,6829,5737,4273,2000
"Jamaica Plain","Jamaica Plain",4891,4595,4694,11138,2000
"Longwood","Longwood",201,140,85,228,2000
"Mattapan","Mattapan",3478,4567,4212,2506,2000
"Mission Hill","Mission Hill",1730,1451,1406,3163,2000
"North End","North End",932,1066,1015,4923,2000
"Roslindale","Roslindale",3868,5595,4725,6840,2000
"Roxbury","Roxbury",7608,7825,5663,3851,2000
"South Boston","South Boston",4047,6980,4440,6024,2000
"South Boston Waterfront","South Boston Waterfront",54,69,62,126,2000
"South End","South End",3600,2641,2720,9931,2000
"West End","West End",421,489,614,2437,2000
"West Roxbury","West Roxbury",2713,5105,4717,8964,2000
"Allston","Allston",1472,2008,1459,6496,2010
"Back Bay","Back Bay",203,522,1174,10527,2010
