YEAR,NAME,male,female,GEOID,landarea_sqmiles,occ_hu
1990,Roslindale,13442,15318,Roslindale,2.188776843,10680
1990,Roxbury,20271,23824,Roxbury,3.464856832,16229
1990,South Boston,13809,15301,South Boston,1.768763718,12932
1990,South Boston Waterfront,156,128,South Boston Waterfront,1.295507492,136
1990,South End,13448,10467,South End,0.845166814,11235
1990,West End,1955,1696,West End,0.272439089,2133
1990,West Roxbury,13327,16379,West Roxbury,5.134644421,12405
2000,Allston,11887,11628,Allston,1.377620224,9163
2000,Back Bay,8412,8269,Back Bay,0.511201961,10053
2000,Beacon Hill,4403,4566,Beacon Hill,0.277307451,5620
2000,Brighton,22027,24106,Brighton,2.713007049,21342
2000,Charlestown,6934,8261,Charlestown,1.353655249,7350
2000,Chinatown,1556,1496,Chinatown,0.110478499,1126
2000,Dorchester,55953,62922,Dorchester,7.277603293,40589
2000,Downtown,3652,3285,Downtown,0.647255095,3222
2000,East Boston,19646,18767,East Boston,4.850957404,14326
2000,Fenway,14880,15275,Fenway,1.326096049,11857
2000,Hyde Park,14923,17087,Hyde Park,4.979769578,11619
2000,Jamaica Plain,17288,19455,Jamaica Plain,3.110286093,14584
2000,Longwood,1700,2208,Longwood,0.195834104,658
2000,Mattapan,11129,13171,Mattapan,2.729303649,8335
2000,Mission Hill,6761,6951,Mission Hill,0.601529016,5455
2000,North End,4443,5045,North End,0.189964193,5847
2000,Roslindale,14135,16101,Roslindale,2.188776843,11318
2000,Roxbury,20174,22400,Roxbury,3.464856832,15791
2000,South Boston,13735,15772,South Boston,1.768763718,13812
2000,South Boston Waterfront,230,201,South Boston Waterfront,1.295507492,218
2000,South End,13500,10710,South End,0.845166814,12703
2000,West End,2581,2123,West End,0.272439089,2457
2000,West Roxbury,13083,15670,West Roxbury,5.134644421,12083
2010,Allston,13567,13146,Allston,1.377620224,9606
2010,Back Bay,8110,8512,Back Bay,0.511201961,9829
2010,Beacon Hill,4094,4929,Beacon Hill,0.277307451,5450
2010,Brighton,23565,24719,Brighton,2.713007049,21004
2010,Charlestown,7589,8850,Charlestown,1.353655249,8033
2010,Chinatown,1949,2115,Chinatown,0.110478499,1478
2010,Dorchester,53874,60375,Dorchester,7.277603293,41237
2010,Downtown,5364,5034,Downtown,0.647255095,4623
2010,East Boston,21314,19194,East Boston,4.850957404,14651
2010,Fenway,16051,17926,Fenway,1.326096049,12883
2010,Hyde Park,15231,17086,Hyde Park,4.979769578,11712
2010,Jamaica Plain,16694,19663,Jamaica Plain,3.110286093,15327
2010,Longwood,1657,3204,Longwood,0.195834104,395
2010,Mattapan,10261,12239,Mattapan,2.729303649,8349
2010,Mission Hill,7895,7996,Mission Hill,0.601529016,6125
2010,North End,4789,5349,North End,0.189964193,6065
2010,Roslindale,13099,15369,Roslindale,2.188776843,11273
2010,Roxbury,23290,26062,Roxbury,3.464856832,18180
2010,South Boston,14943,16842,South Boston,1.768763718,15258
2010,South Boston Waterfront,1065,824,South Boston Waterfront,1.295507492,956
2010,South End,14158,13198,South End,0.845166814,14423
2010,West End,3015,2408,West End,0.272439089,2882
2010,West Roxbury,13950,16495,West Roxbury,5.134644421,12960
2020,Allston,13482,14051,Allston,1.377620224,10027
2020,Back Bay,8776,9504,Back Bay,0.511201961,10006
2020,Beacon Hill,4172,5164,Beacon Hill,0.277307451,5485
2020,Brighton,24986,27034,Brighton,2.713007049,22535
2020,Charlestown,8892,10228,Charlestown,1.353655249,8932
2020,Chinatown,3031,3184,Chinatown,0.110478499,2937
2020,Dorchester,58204,65064,Dorchester,7.277603293,44823
2020,Downtown,6787,7011,Downtown,0.647255095,5384
2020,East Boston,21730,21336,East Boston,4.850957404,16695
2020,Fenway,17802,20577,Fenway,1.326096049,13277
2020,Hyde Park,15967,18158,Hyde Park,4.979769578,12471
2020,Jamaica Plain,18389,21679,Jamaica Plain,3.110286093,17396
2020,Longwood,1969,3510,Longwood,0.195834104,317
2020,Mattapan,10604,13150,Mattapan,2.729303649,8822
2020,Mission Hill,8646,9207,Mission Hill,0.601529016,6668
2020,North End,4929,5876,North End,0.189964193,6314
2020,Roslindale,13621,15965,Roslindale,2.188776843,11682
2020,Roxbury,25310,29811,Roxbury,3.464856832,20025
2020,South Boston,17984,19933,South Boston,1.768763718,17961
2020,South Boston Waterfront,2850,2745,South Boston Waterfront,1.295507492,3624
2020,South End,15416,15507,South End,0.845166814,16152
2020,West End,4117,4018,West End,0.272439089,4572
2020,West Roxbury,14572,16989,West Roxbury,5.134644421,13390
