"YEAR","GEOID","under5","fiveto17","NAME"
2024,"Allston",737,945,"Allston"
2024,"Back Bay",562,468,"Back Bay"
2024,"Beacon Hill",256,308,"Beacon Hill"
2024,"Brighton",1640,2349,"Brighton"
2024,"Charlestown",1317,1917,"Charlestown"
2024,"Chinatown",214,405,"Chinatown"
2024,"Dorchester",5498,15270,"Dorchester"
2024,"Downtown",412,1441,"Downtown"
2024,"East Boston",2271,4675,"East Boston"
2024,"Fenway",512,4198,"Fenway"
2024,"Hyde Park",1388,4438,"Hyde Park"
2024,"Jamaica Plain",2122,2627,"Jamaica Plain"
2024,"Longwood",21,1381,"Longwood"
2024,"Mattapan",1238,3181,"Mattapan"
2024,"Mission Hill",497,1659,"Mission Hill"
2024,"North End",199,283,"North End"
2024,"Roslindale",1577,3332,"Roslindale"
2024,"Roxbury",2923,8043,"Roxbury"
2024,"South Boston",1658,1855,"South Boston"
2024,"South Boston Waterfront",339,222,"South Boston Waterfront"
2024,"South End",1464,1594,"South End"
2024,"West End",321,462,"West End"
2024,"West Roxbury",1620,3103,"West Roxbury"
