YEAR,GEOID,white,black,hisp,aapi,ainh,other,twoplus,NAME
2010,Roxbury,194,6137,4438,36,0,267,206,Roxbury
2010,South Boston,2191,539,1123,276,0,0,0,South Boston
2010,South Boston Waterfront,75,0,4,10,0,0,0,South Boston Waterfront
2010,South End,931,708,924,586,0,0,0,South End
2010,West End,179,34,35,55,0,0,0,West End
2010,West Roxbury,3746,971,816,487,0,0,117,West Roxbury
2020,Allston,560,142,533,311,9,50,159,Allston
2020,Back Bay,716,49,117,120,3,12,131,Back Bay
2020,Beacon Hill,541,21,62,15,0,3,91,Beacon Hill
2020,Brighton,1942,338,988,621,4,141,356,Brighton
2020,Charlestown,1937,328,688,246,4,23,233,Charlestown
2020,Chinatown,103,38,61,509,0,0,23,Chinatown
2020,Dorchester,3084,10036,7895,2485,65,805,2456,Dorchester
2020,Downtown,390,10,79,201,0,6,107,Downtown
2020,East Boston,1721,267,5444,218,17,187,386,East Boston
2020,Fenway,400,102,214,205,10,25,104,Fenway
2020,Harbor Islands,0,0,0,0,0,0,0,Harbor Islands
2020,Hyde Park,981,3043,2150,126,7,86,410,Hyde Park
2020,Jamaica Plain,2281,807,1869,249,8,63,692,Jamaica Plain
2020,Longwood,3,13,17,4,0,2,5,Longwood
2020,Mattapan,157,3326,1352,96,10,57,329,Mattapan
2020,Mission Hill,291,491,758,281,4,25,72,Mission Hill
2020,North End,418,9,83,10,1,8,40,North End
2020,Roslindale,2027,1240,1824,135,2,62,463,Roslindale
2020,Roxbury,519,4748,4712,253,29,298,822,Roxbury
2020,South Boston,2209,445,1088,227,13,49,272,South Boston
2020,South Boston Waterfront,144,22,46,24,0,4,53,South Boston Waterfront
2020,South End,1454,552,823,400,6,22,332,South End
2020,West End,313,35,82,93,0,8,76,West End
2020,West Roxbury,3242,913,1021,450,3,63,412,West Roxbury
2020,_Boston Harbor,0,0,0,0,0,0,0,_Boston Harbor
