YEAR,GEOID,ilf_f,ilf_m,nilf_f,nilf_m,NAME
2000,25025070902,417,784,266,194,Census Tract 709.02
2000,25025071101,633,1092,589,573,Census Tract 711.01
2000,25025071201,348,305,215,313,Census Tract 712.01
2000,25025080100,409,427,456,1635,Census Tract 801
2000,25025080300,376,256,295,198,Census Tract 803
2000,25025080401,525,400,396,274,Census Tract 804.01
2000,25025080500,541,317,439,322,Census Tract 805
2000,25025080601,380,497,467,424,Census Tract 806.01
2000,25025080801,793,600,463,441,Census Tract 808.01
2000,25025080900,1048,1184,522,479,Census Tract 809
2000,25025081001,1201,1229,948,801,Census Tract 810.01
2000,25025081101,245,281,284,224,Census Tract 811.01
2000,25025081102,553,636,643,506,Census Tract 811.02
2000,25025081200,427,437,731,380,Census Tract 812
2000,25025081301,346,299,388,349,Census Tract 813.01
2000,25025081302,425,367,478,430,Census Tract 813.02
2000,25025081400,646,740,393,201,Census Tract 814
2000,25025081500,414,321,288,175,Census Tract 815
2000,25025081700,939,653,655,421,Census Tract 817
2000,25025081800,696,649,459,361,Census Tract 818
2000,25025081900,737,643,615,297,Census Tract 819
2000,25025082000,651,530,535,326,Census Tract 820
2000,25025082100,849,559,905,643,Census Tract 821
2000,25025090100,1053,884,771,405,Census Tract 901
2000,25025090200,423,278,325,227,Census Tract 902
2000,25025090300,654,515,568,247,Census Tract 903
2000,25025090400,629,552,660,344,Census Tract 904
2000,25025090600,392,490,355,230,Census Tract 906
2000,25025090700,988,1397,884,661,Census Tract 907
2000,25025090901,749,733,471,444,Census Tract 909.01
2000,25025091001,669,788,435,336,Census Tract 910.01
2000,25025091100,1073,1360,901,635,Census Tract 911
2000,25025091200,818,860,561,324,Census Tract 912
2000,25025091300,551,472,326,296,Census Tract 913
2000,25025091400,449,544,451,321,Census Tract 914
2000,25025091500,988,950,958,495,Census Tract 915
2000,25025091600,647,745,681,377,Census Tract 916
2000,25025091700,661,730,595,348,Census Tract 917
2000,25025091800,829,776,451,321,Census Tract 918
2000,25025091900,838,617,574,459,Census Tract 919
2000,25025092000,1153,1025,895,745,Census Tract 920
2000,25025092101,1410,1571,1261,1003,Census Tract 921.01
2000,25025092200,983,944,608,280,Census Tract 922
2000,25025092300,738,598,430,388,Census Tract 923
2000,25025092400,1248,1049,1255,631,Census Tract 924
2000,25025100100,954,816,1163,691,Census Tract 1001
2000,25025100200,521,452,495,340,Census Tract 1002
2000,25025100300,887,595,640,450,Census Tract 1003
2000,25025100400,1471,948,862,747,Census Tract 1004
2000,25025100500,1358,1367,1265,829,Census Tract 1005
2000,25025100601,1209,1247,1079,844,Census Tract 1006.01
2000,25025100603,339,458,465,283,Census Tract 1006.03
2000,25025100700,1141,1207,851,423,Census Tract 1007
2000,25025100800,1571,1463,870,642,Census Tract 1008
2000,25025100900,1054,1029,761,423,Census Tract 1009
2000,25025101001,1648,1447,944,595,Census Tract 1010.01
2000,25025101002,1326,1132,935,576,Census Tract 1010.02
2000,25025101101,702,536,644,488,Census Tract 1011.01
2000,25025101102,1106,866,881,601,Census Tract 1011.02
2000,25025110104,533,522,422,392,Census Tract 1101.04
2000,25025110105,564,554,450,429,Census Tract 1101.05
2000,25025110106,307,301,245,233,Census Tract 1101.06
2000,25025110201,443,489,313,204,Census Tract 1102.01
2000,25025110301,655,589,430,356,Census Tract 1103.01
2000,25025110401,920,811,605,437,Census Tract 1104.01
2000,25025110403,1312,1155,626,414,Census Tract 1104.03
2000,25025110501,906,960,485,370,Census Tract 1105.01
2000,25025110502,1102,1042,641,490,Census Tract 1105.02
2000,25025110601,693,666,470,250,Census Tract 1106.01
2000,25025110607,1645,1500,1139,506,Census Tract 1106.07
2000,25025120103,445,396,270,140,Census Tract 1201.03
2000,25025120104,809,631,375,182,Census Tract 1201.04
2000,25025120105,669,594,405,210,Census Tract 1201.05
2000,25025120201,1039,1178,490,276,Census Tract 1202.01
2000,25025120301,1264,1111,697,609,Census Tract 1203.01
2000,25025120400,2045,1831,709,376,Census Tract 1204
2000,25025120500,492,639,463,313,Census Tract 1205
2000,25025120600,884,744,267,185,Census Tract 1206
2000,25025120700,693,599,245,242,Census Tract 1207
2000,25025130101,1289,1390,1012,578,Census Tract 1301.01
2000,25025130200,1376,1343,757,385,Census Tract 1302
2000,25025130300,1209,1218,706,371,Census Tract 1303
2000,25025130402,1147,1244,882,572,Census Tract 1304.02
2000,25025130404,602,525,593,350,Census Tract 1304.04
2000,25025130406,1123,980,1106,653,Census Tract 1304.06
2000,25025140102,1021,1073,672,435,Census Tract 1401.02
2000,25025140105,973,828,519,441,Census Tract 1401.05
2000,25025140106,499,455,499,291,Census Tract 1401.06
2000,25025140107,524,478,524,306,Census Tract 1401.07
2000,25025140201,516,519,434,230,Census Tract 1402.01
2000,25025140202,1429,1325,875,624,Census Tract 1402.02
2000,25025140300,1478,1330,1096,865,Census Tract 1403
2000,25025140400,1955,1860,1467,784,Census Tract 1404
2000,25025980101,,,,,Census Tract 9801.01
2000,25025980300,,,,,Census Tract 9803
2000,25025980700,,,,,Census Tract 9807
2000,25025980900,,,,,Census Tract 9809
2000,25025981000,,,,,Census Tract 9810
2000,25025981100,,,,,Census Tract 9811
2000,25025981201,,,,,Census Tract 9812.01
2000,25025981202,,,,,Census Tract 9812.02
2000,25025981300,,,,,Census Tract 9813
2000,25025981501,,,,,Census Tract 9815.01
2000,25025981502,,,,,Census Tract 9815.02
2000,25025981600,,,,,Census Tract 9816
2000,25025981700,,,,,Census Tract 9817
2000,25025981800,,,,,Census Tract 9818
2000,25025981900,,,,,Census Tract 9819
2010,25025000101,400,647,207,117,Census Tract 1.01
2010,25025000102,529,854,273,155,Census Tract 1.02
2010,25025000201,1289,1411,415,283,Census Tract 2.01
2010,25025000202,1172,1319,598,395,Census Tract 2.02
2010,25025000301,887,953,181,153,Census Tract 3.01
2010,25025000302,923,1354,305,232,Census Tract 3.02
2010,25025000401,1549,1620,1217,670,Census Tract 4.01
2010,25025000402,813,1472,523,448,Census Tract 4.02
2010,25025000502,1264,899,1057,915,Census Tract 5.02
2010,25025000503,847,775,175,81,Census Tract 5.03
2010,25025000505,849,748,528,188,Census Tract 5.05
2010,25025000506,1087,957,676,241,Census Tract 5.06
2010,25025000601,881,1552,608,237,Census Tract 6.01
2010,25025000603,369,410,344,153,Census Tract 6.03
2010,25025000604,673,750,628,279,Census Tract 6.04
2010,25025000701,1692,1552,546,298,Census Tract 7.01
2010,25025000703,624,1159,559,523,Census Tract 7.03
2010,25025000704,1549,1899,544,485,Census Tract 7.04
2010,25025000804,1202,1419,581,456,Census Tract 8.04
2010,25025000805,1377,1625,666,523,Census Tract 8.05
2010,25025000806,289,209,599,455,Census Tract 8.06
2010,25025000807,324,234,671,511,Census Tract 8.07
2010,25025010103,1004,589,1119,1033,Census Tract 101.03
2010,25025010104,1627,1423,1241,831,Census Tract 101.04
2010,25025010204,834,645,504,376,Census Tract 102.04
2010,25025010205,1129,1029,517,765,Census Tract 102.05
2010,25025010206,470,429,215,319,Census Tract 102.06
2010,25025010300,2463,654,1866,855,Census Tract 103
2010,25025010403,728,1271,469,551,Census Tract 104.03
2010,25025010404,1328,1589,1482,1733,Census Tract 104.04
2010,25025010405,1135,754,1661,1794,Census Tract 104.05
2010,25025010408,505,603,106,22,Census Tract 104.08
2010,25025010500,816,1025,786,703,Census Tract 105
2010,25025010600,659,1206,579,245,Census Tract 106
2010,25025010701,718,899,272,259,Census Tract 107.01
2010,25025010702,1048,872,346,297,Census Tract 107.02
2010,25025010801,1042,1185,693,414,Census Tract 108.01
2010,25025010802,872,1126,630,278,Census Tract 108.02
2010,25025020101,1542,1495,507,241,Census Tract 201.01
2010,25025020200,1732,1103,460,228,Census Tract 202
2010,25025020301,711,648,367,435,Census Tract 203.01
2010,25025020302,495,316,148,47,Census Tract 203.02
2010,25025020304,90,100,49,123,Census Tract 203.04
2010,25025020305,627,696,340,852,Census Tract 203.05
2010,25025030100,1008,585,154,182,Census Tract 301
2010,25025030200,793,558,170,97,Census Tract 302
2010,25025030301,333,426,182,153,Census Tract 303.01
2010,25025030302,565,723,309,260,Census Tract 303.02
2010,25025030400,1318,1374,462,331,Census Tract 304
2010,25025030500,1157,815,197,102,Census Tract 305
2010,25025040100,698,830,272,158,Census Tract 401
2010,25025040200,349,527,210,147,Census Tract 402
2010,25025040300,1473,1236,457,238,Census Tract 403
2010,25025040401,807,661,348,322,Census Tract 404.01
2010,25025040600,889,891,197,245,Census Tract 406
2010,25025040801,957,855,724,318,Census Tract 408.01
2010,25025050101,1148,1632,675,665,Census Tract 501.01
2010,25025050200,1302,2040,680,311,Census Tract 502
2010,25025050300,421,299,328,448,Census Tract 503
2010,25025050400,455,1080,316,167,Census Tract 504
2010,25025050500,464,902,231,125,Census Tract 505
2010,25025050600,380,712,199,205,Census Tract 506
