"GEOID","NAME","ilf_m","ilf_f","nilf_m","nilf_f","YEAR"
"Dorchester","Dorchester",31556,24241,9963,29609,1970
"Downtown","Downtown",649,471,237,348,1970
"East Boston","East Boston",9846,6563,3232,8580,1970
"Fenway","Fenway",6283,8042,4949,7553,1970
"Harbor Islands","Harbor Islands",70,25,984,116,1970
"Hyde Park","Hyde Park",9462,6161,2202,7431,1970
"Jamaica Plain","Jamaica Plain",10068,8201,4390,10640,1970
"Longwood","Longwood",435,1029,588,1355,1970
"Mattapan","Mattapan",6485,5015,2162,5585,1970
"Mission Hill","Mission Hill",3303,3669,1745,3866,1970
"North End","North End",2980,2030,1120,2249,1970
"Roslindale","Roslindale",8665,6485,2506,7445,1970
"Roxbury","Roxbury",9259,8185,4561,10785,1970
"South Boston","South Boston",8885,6445,3188,8871,1970
"South Boston Waterfront","South Boston Waterfront",74,55,27,58,1970
"South End","South End",6049,3598,2787,3973,1970
"West End","West End",1118,1128,428,472,1970
"West Roxbury","West Roxbury",8713,6284,2781,7831,1970
"Allston","Allston",5403,4050,1852,4023,1960
"Back Bay","Back Bay",5372,6564,1875,3553,1960
"Beacon Hill","Beacon Hill",4108,3388,1136,2245,1960
"Brighton","Brighton",12383,9411,3278,10999,1960
"Charlestown","Charlestown",5347,2790,1536,4691,1960
"Chinatown","Chinatown",1005,350,444,235,1960
"Dorchester","Dorchester",39665,24201,11329,36453,1960
"Downtown","Downtown",1234,429,544,357,1960
"East Boston","East Boston",11899,5978,3676,10594,1960
"Fenway","Fenway",6663,7033,3149,5543,1960
"Harbor Islands","Harbor Islands",114,69,1419,197,1960
"Hyde Park","Hyde Park",7826,3961,2015,6938,1960
"Jamaica Plain","Jamaica Plain",12468,8341,4521,12830,1960
"Longwood","Longwood",659,1092,206,953,1960
"Mattapan","Mattapan",6906,3373,1970,6366,1960
"Mission Hill","Mission Hill",3903,3809,1533,4576,1960
"North End","North End",3472,1741,1272,2914,1960
"Roslindale","Roslindale",8750,5002,2587,8454,1960
"Roxbury","Roxbury",17744,12671,5801,15640,1960
"South Boston","South Boston",10795,6037,3679,10540,1960
"South Boston Waterfront","South Boston Waterfront",96,48,44,98,1960
