"GEOID","NAME","white","black","hisp","native","asian","two_plus","other","YEAR"
"Chinatown","Chinatown",564,103,62,2,2072,0,2,1990
"Dorchester","Dorchester",42086,49779,13312,424,3666,0,2865,1990
"Downtown","Downtown",2901,172,136,8,1581,0,2,1990
"East Boston","East Boston",24977,702,5805,84,1260,0,113,1990
"Fenway","Fenway",21450,2630,2289,75,2941,0,312,1990
"Harbor Islands","Harbor Islands",482,626,156,8,7,0,3,1990
"Hyde Park","Hyde Park",21386,7075,1522,75,343,0,62,1990
"Jamaica Plain","Jamaica Plain",19466,6803,10857,87,1356,0,152,1990
"Longwood","Longwood",1774,521,202,6,92,0,9,1990
"Mattapan","Mattapan",3363,19205,1094,73,218,0,85,1990
"Mission Hill","Mission Hill",6077,3747,3465,54,1325,0,85,1990
"North End","North End",8802,56,249,10,119,0,2,1990
"Roslindale","Roslindale",23685,1578,2800,32,631,0,35,1990
"Roxbury","Roxbury",2765,31879,7744,180,223,0,1303,1990
"South Boston","South Boston",27807,261,424,90,511,0,17,1990
"South Boston Waterfront","South Boston Waterfront",264,2,6,1,11,0,0,1990
"South End","South End",11287,5327,3424,97,3698,0,82,1990
"West End","West End",3016,232,191,2,209,0,2,1990
"West Roxbury","West Roxbury",28012,472,625,23,564,0,10,1990
"Allston","Allston",13921,1402,3128,40,3901,741,382,2000
"Back Bay","Back Bay",13870,614,730,24,1101,282,60,2000
"Beacon Hill","Beacon Hill",7835,285,292,9,437,97,15,2000
"Brighton","Brighton",33914,1708,3209,65,5710,1082,446,2000
"Charlestown","Charlestown",11946,539,1764,26,761,139,20,2000
"Chinatown","Chinatown",944,93,94,4,1870,38,9,2000
"Dorchester","Dorchester",28924,53329,16277,452,9896,5737,4260,2000
"Downtown","Downtown",3906,278,292,7,2345,94,16,2000
"East Boston","East Boston",19078,1177,14990,71,1553,1104,440,2000
"Fenway","Fenway",20876,1720,2269,60,4255,835,141,2000
"Harbor Islands","Harbor Islands",260,244,120,3,5,6,2,2000
"Hyde Park","Hyde Park",13445,12718,4157,72,484,991,143,2000
"Jamaica Plain","Jamaica Plain",17241,6191,10596,87,1489,981,155,2000
"Longwood","Longwood",2446,506,530,6,315,86,19,2000
"Mattapan","Mattapan",1735,19037,1798,72,386,1158,114,2000
"Mission Hill","Mission Hill",6264,2548,2292,52,2014,436,106,2000
"North End","North End",8833,91,234,9,216,97,7,2000
"Roslindale","Roslindale",17888,4711,5598,55,872,971,142,2000
"Roxbury","Roxbury",3136,26009,9469,179,435,1835,1511,2000
"South Boston","South Boston",24934,734,2224,78,1139,359,39,2000
"South Boston Waterfront","South Boston Waterfront",382,7,11,1,22,8,0,2000
"South End","South End",12365,4220,3428,73,3493,528,102,2000
"West End","West End",3389,426,278,14,491,95,11,2000
"West Roxbury","West Roxbury",24029,1718,1309,58,1090,474,75,2000
"Allston","Allston",15270,1456,3481,23,5123,829,531,2010
"Back Bay","Back Bay",13096,661,943,13,1564,290,55,2010
"Beacon Hill","Beacon Hill",7832,178,374,5,483,119,32,2010
"Brighton","Brighton",34299,1975,3959,42,6445,1006,558,2010
"Charlestown","Charlestown",12458,764,1591,18,1344,202,62,2010
"Chinatown","Chinatown",1747,159,169,2,1911,68,7,2010
"Dorchester","Dorchester",25322,49144,19407,315,10637,4251,5173,2010
"Downtown","Downtown",6262,469,515,12,2932,184,25,2010
"East Boston","East Boston",15051,1283,21419,69,1413,618,655,2010
"Fenway","Fenway",22066,1664,2754,52,6382,947,112,2010
"Harbor Islands","Harbor Islands",165,204,134,2,9,8,13,2010
"Hyde Park","Hyde Park",9128,15111,6507,85,535,689,262,2010
"Jamaica Plain","Jamaica Plain",18764,5150,9569,73,1689,913,200,2010
"Longwood","Longwood",3381,377,457,3,481,143,19,2010
"Mattapan","Mattapan",1434,17179,2722,59,386,558,162,2010
"Mission Hill","Mission Hill",7523,2469,3070,48,2391,345,45,2010
"North End","North End",9140,131,383,15,340,99,30,2010
"Roslindale","Roslindale",14185,5746,6828,68,826,627,189,2010
"Roxbury","Roxbury",6072,25302,13568,196,1184,1496,1534,2010
"South Boston","South Boston",24938,1536,3237,34,1528,378,133,2010
"South Boston Waterfront","South Boston Waterfront",1600,36,107,4,114,23,5,2010
"South End","South End",14827,3505,3669,52,4589,567,146,2010
"West End","West End",3450,615,481,8,746,111,12,2010
"West Roxbury","West Roxbury",22302,2959,2573,29,1976,488,118,2010
"Allston","Allston",15033,1584,3852,19,7404,1425,348,2020
"Back Bay","Back Bay",13533,724,1266,14,2511,729,101,2020
"Beacon Hill","Beacon Hill",7605,254,544,1,637,352,46,2020
"Brighton","Brighton",33217,2459,5468,62,8857,2110,732,2020
"Charlestown","Charlestown",13887,1011,2117,15,1682,677,101,2020
"Chinatown","Chinatown",1925,264,469,2,3584,170,16,2020
"Dorchester","Dorchester",27864,43516,25827,341,13651,9745,3585,2020
"Downtown","Downtown",9053,594,1005,10,3101,416,76,2020
"East Boston","East Boston",16116,1439,22358,46,1983,1590,698,2020
"Fenway","Fenway",21797,2503,3820,47,9837,1725,408,2020
"Hyde Park","Hyde Park",7629,15616,8314,57,733,1436,365,2020
"Jamaica Plain","Jamaica Plain",22309,4701,9070,54,3191,2067,312,2020
"Longwood","Longwood",3798,346,512,2,644,160,19,2020
"Mattapan","Mattapan",1491,16276,4083,55,493,1223,226,2020
"Mission Hill","Mission Hill",7234,2558,3548,26,4600,636,199,2020
"North End","North End",9513,143,537,8,458,341,46,2020
"Roslindale","Roslindale",14049,5805,7280,28,992,1261,260,2020
