YEAR,GEOID,NAME,zero_nine,ten_nineteen,twenty_thirtyfour,thirtyfive_fiftyfour,fiftyfive_sixtyfour,sixtyfive_more
1990,East Boston,East Boston,4190,3376,10149,7033,2931,5260
1990,Fenway,Fenway,722,6800,17076,2976,737,1385
1990,Hyde Park,Hyde Park,4228,3484,8193,7148,2758,4654
1990,Jamaica Plain,Jamaica Plain,5332,4350,12919,9568,2375,4176
1990,Longwood,Longwood,126,984,1182,192,60,59
1990,Mattapan,Mattapan,3812,3697,6319,6547,1750,1848
1990,Mission Hill,Mission Hill,1821,1986,5868,2945,735,1399
1990,North End,North End,271,287,4360,2089,765,1464
1990,Roslindale,Roslindale,3846,2630,8826,6374,2398,4688
1990,Roxbury,Roxbury,7906,6885,11907,10046,3120,4232
1990,South Boston,South Boston,3161,2806,8907,6818,2869,4548
1990,South Boston Waterfront,South Boston Waterfront,26,15,131,75,18,21
1990,South End,South End,1951,2010,9595,6564,1639,2155
1990,West End,West End,145,76,1531,1092,299,510
1990,West Roxbury,West Roxbury,3002,2263,8098,6812,3010,6520
2000,Allston,Allston,1363,3296,13509,3359,845,1143
2000,Back Bay,Back Bay,491,1378,7653,4243,1432,1482
2000,Beacon Hill,Beacon Hill,376,274,4237,2359,916,809
2000,Brighton,Brighton,2612,2445,24698,8594,2378,5407
2000,Charlestown,Charlestown,1661,1413,5043,4217,1218,1643
2000,Chinatown,Chinatown,177,516,867,670,208,615
2000,Dorchester,Dorchester,19249,19961,29798,31422,8509,9936
2000,Downtown,Downtown,350,730,2046,1877,642,1294
2000,East Boston,East Boston,5346,4750,10917,10225,2479,4696
2000,Fenway,Fenway,423,7141,17419,2904,748,1520
2000,Hyde Park,Hyde Park,4612,4569,6459,9612,2622,4136
2000,Jamaica Plain,Jamaica Plain,4261,4244,11145,11302,2442,3344
2000,Longwood,Longwood,244,1542,1772,220,57,73
2000,Mattapan,Mattapan,3928,3859,5377,6753,2196,2001
2000,Mission Hill,Mission Hill,1041,1766,5965,2724,864,1353
2000,North End,North End,311,188,4816,2223,708,1240
2000,Roslindale,Roslindale,3850,3816,7074,9303,2119,4075
2000,Roxbury,Roxbury,6890,7083,10409,11427,3031,3736
2000,South Boston,South Boston,3081,2808,9136,8160,2362,3960
2000,South Boston Waterfront,South Boston Waterfront,27,31,160,139,32,44
2000,South End,South End,1674,1634,8637,7802,2107,2353
2000,West End,West End,240,159,1744,1452,460,649
2000,West Roxbury,West Roxbury,3531,2542,5757,8548,2584,5791
2010,Allston,Allston,1092,3702,16585,3162,1090,1085
2010,Back Bay,Back Bay,713,1149,7501,3593,1689,1977
2010,Beacon Hill,Beacon Hill,493,284,4590,1816,905,935
2010,Brighton,Brighton,2339,2850,27759,7535,2885,4915
2010,Charlestown,Charlestown,1806,1108,5494,4668,1679,1684
2010,Chinatown,Chinatown,181,909,1259,810,370,534
2010,Dorchester,Dorchester,15545,17210,28444,30941,11366,10743
2010,Downtown,Downtown,468,1546,3367,2390,1148,1478
2010,East Boston,East Boston,5554,4509,12477,11478,2960,3532
2010,Fenway,Fenway,450,7910,20390,2618,953,1562
2010,Hyde Park,Hyde Park,3878,4682,6220,9498,3905,4128
2010,Jamaica Plain,Jamaica Plain,3779,3334,11798,9857,3950,3640
2010,Longwood,Longwood,56,2255,2291,145,63,51
2010,Mattapan,Mattapan,2830,3310,4597,6174,2700,2669
2010,Mission Hill,Mission Hill,988,2289,7495,2472,1047,1599
2010,North End,North End,311,328,5525,1940,852,1180
2010,Roslindale,Roslindale,3433,3324,6191,8723,3307,3489
2010,Roxbury,Roxbury,6396,8344,12970,12305,4581,4417
2010,South Boston,South Boston,2567,2372,12938,7792,2930,3185
2010,South Boston Waterfront,South Boston Waterfront,73,43,869,458,139,100
2010,South End,South End,2143,1592,9412,8225,2905,3081
2010,West End,West End,270,280,2286,1389,503,695
2010,West Roxbury,West Roxbury,3845,2944,5346,8899,3935,5476
2020,Allston,Allston,1131,1433,17226,2854,1030,1230
2020,Back Bay,Back Bay,730,1389,7683,3401,2038,2949
2020,Beacon Hill,Beacon Hill,447,347,4562,1796,884,1296
2020,Brighton,Brighton,2815,2556,29865,7872,2962,5977
2020,Charlestown,Charlestown,2278,1408,6056,4999,2045,2334
2020,Chinatown,Chinatown,432,738,2544,1269,600,628
2020,Dorchester,Dorchester,13971,16080,33752,30025,13203,15160
2020,Downtown,Downtown,554,2167,4438,2501,1525,2583
2020,East Boston,East Boston,4443,4762,14423,11570,3852,3935
2020,Fenway,Fenway,705,5848,24649,2982,1198,2098
2020,Hyde Park,Hyde Park,3509,4110,7138,8767,4955,5686
2020,Jamaica Plain,Jamaica Plain,3692,2810,13896,9860,3975,5748
2020,Longwood,Longwood,30,2067,2896,93,34,66
2020,Mattapan,Mattapan,2753,3173,4869,6148,2956,3844
2020,Mission Hill,Mission Hill,1078,1893,9252,2234,1229,1832
2020,North End,North End,364,269,6156,1883,778,1355
2020,Roslindale,Roslindale,3231,3076,6629,8039,3844,4767
2020,Roxbury,Roxbury,6009,7755,16349,11853,5902,6552
2020,South Boston,South Boston,2753,1916,18860,7586,3143,3659
2020,South Boston Waterfront,South Boston Waterfront,199,120,2712,1499,684,359
2020,South End,South End,2292,1640,10587,7847,4094,4444
2020,West End,West End,426,219,3643,1679,720,1018
2020,West Roxbury,West Roxbury,3476,3167,5874,8029,4557,6333
