"YEAR","GEOID","NAME","num_home_purchase","num_home_refi","num_home_improv","vol_home_purchase","vol_home_refi","vol_home_improv"
2007,"25025061000","Census Tract 610",45,19,1,15026406,7338182,22583
2007,"25025061101","Census Tract 611.01",0,2,0,0,647860,0
2007,"25025061201","Census Tract 612.01",152,49,8,74204920,20835298,2313361
2007,"25025061202","Census Tract 612.02",,,,,,
2007,"25025061203","Census Tract 612.03",40,13,2,19376646,5440586,604073
2007,"25025061204","Census Tract 612.04",8,3,0,3850127,1081041,0
2007,"25025070102","Census Tract 701.02",84,44,3,72365192,28381470,495437
2007,"25025070104","Census Tract 701.04",35,20,2,29789851,12434313,659660
2007,"25025070201","Census Tract 702.01",2,5,3,571069,2601689,1505670
2007,"25025070202","Census Tract 702.02",47,29,4,39332540,17996672,1892829
2007,"25025070301","Census Tract 703.01",87,48,2,58390272,33311844,2336833
2007,"25025070302","Census Tract 703.02",61,34,2,41418320,23629288,1657599
2007,"25025070402","Census Tract 704.02",1,0,0,254063,0,0
2007,"25025070501","Census Tract 705.01",57,36,3,33239436,27608458,1030250
2007,"25025070502","Census Tract 705.02",101,64,6,58885164,48909628,1825134
2007,"25025070600","Census Tract 706",71,49,2,63280000,39206132,2049440
2007,"25025070700","Census Tract 707",60,39,2,39101684,19922762,571641
2007,"25025070801","Census Tract 708.01",30,14,1,14119146,8077819,99051
2007,"25025070802","Census Tract 708.02",77,36,2,36179656,20699034,253814
2007,"25025070901","Census Tract 709.01",21,14,1,9870736,7037870,240805
2007,"25025070902","Census Tract 709.02",43,29,2,20793238,14825651,507269
2007,"25025071101","Census Tract 711.01",136,54,1,54037756,23256632,84687
2007,"25025071201","Census Tract 712.01",55,42,2,31043658,21602400,204662
2007,"25025080100","Census Tract 801",9,15,6,4134167,5297211,1422752
2007,"25025080300","Census Tract 803",6,10,1,1397346,6515301,39521
2007,"25025080401","Census Tract 804.01",10,9,1,4319145,3427770,663603
2007,"25025080500","Census Tract 805",5,9,1,3362023,4141892,1116248
2007,"25025080601","Census Tract 806.01",34,8,2,6717140,5204054,868048
2007,"25025080801","Census Tract 808.01",4,2,0,1197452,473139,0
2007,"25025080900","Census Tract 809",26,28,6,17685598,19098470,3021936
2007,"25025081001","Census Tract 810.01",20,26,11,8653663,17976358,2743879
2007,"25025081101","Census Tract 811.01",21,7,4,7837663,2577632,1210889
2007,"25025081102","Census Tract 811.02",48,15,8,17715414,5826203,2736965
2007,"25025081200","Census Tract 812",21,15,2,5587403,6353699,54436
2007,"25025081301","Census Tract 813.01",6,8,2,1730724,3370957,691657
2007,"25025081302","Census Tract 813.02",7,10,2,2129620,4147892,851069
2007,"25025081400","Census Tract 814",49,61,7,15380683,28685108,1616122
2007,"25025081500","Census Tract 815",70,29,2,18943208,9703789,70573
2007,"25025081700","Census Tract 817",24,27,5,7112349,10425046,1665523
