YEAR,GEOID,median_nom_R1F,median_nom_RCD,median_adj_R1F,median_adj_RCD,count_R1F,count_RCD,NAME
1993,Fenway,233250.0,94750.0,491842.5,199795.0,2.0,149.0,Fenway
1993,Hyde Park,107000.0,55000.0,225626.0,115976.0,183.0,16.0,Hyde Park
1993,Jamaica Plain,172250.0,92500.0,363215.5,195050.5,92.0,128.0,Jamaica Plain
1993,Longwood,,87000.0,,183452.5,0.0,20.0,Longwood
1993,Mattapan,91500.0,110000.0,192942.0,231952.0,59.0,9.0,Mattapan
1993,Mission Hill,72500.0,47500.0,152877.0,100161.0,3.0,17.0,Mission Hill
1993,North End,170000.0,132850.0,358471.0,280134.0,1.0,112.0,North End
1993,Roslindale,115000.0,65000.0,242495.0,137062.0,129.0,37.0,Roslindale
1993,Roxbury,60000.0,68500.0,126519.0,144442.5,13.0,50.0,Roxbury
1993,South Boston,90900.0,79000.0,191676.0,166583.0,29.0,117.0,South Boston
1993,South Boston Waterfront,,158500.0,,334221.0,0.0,6.0,South Boston Waterfront
1993,South End,332500.0,129400.0,701126.0,272859.5,13.0,300.0,South End
1993,West End,,117500.0,,247766.5,0.0,34.0,West End
1993,West Roxbury,151750.0,110000.0,319988.0,231952.0,262.0,67.0,West Roxbury
1994,Allston,133500.0,70000.0,274477.0,143920.0,22.0,74.0,Allston
1994,Back Bay,801500.0,232000.0,1647888.5,476993.0,4.0,443.0,Back Bay
1994,Beacon Hill,486250.0,184000.0,999733.0,378305.0,16.0,179.0,Beacon Hill
1994,Brighton,151500.0,65000.0,311485.0,133640.0,60.0,281.0,Brighton
1994,Charlestown,142500.0,163000.0,292981.0,335129.0,53.0,174.0,Charlestown
1994,Dorchester,90000.0,47750.0,185040.0,98174.0,249.0,102.0,Dorchester
1994,Downtown,,195000.0,,400921.0,0.0,103.0,Downtown
1994,East Boston,80500.0,40000.0,165508.0,82240.0,38.0,21.0,East Boston
1994,Fenway,,84200.0,,173116.0,0.0,173.0,Fenway
1994,Hyde Park,108000.0,40000.0,222049.0,82240.0,252.0,23.0,Hyde Park
1994,Jamaica Plain,170000.0,92750.0,349521.0,190694.5,103.0,118.0,Jamaica Plain
1994,Longwood,,50000.0,,102800.0,0.0,11.0,Longwood
1994,Mattapan,92085.0,97500.0,189327.0,200461.0,80.0,6.0,Mattapan
1994,Mission Hill,61000.0,56000.0,125416.0,115136.0,4.0,19.0,Mission Hill
1994,North End,,145000.0,,298121.0,0.0,133.0,North End
1994,Roslindale,118000.0,63000.0,242609.0,129528.0,191.0,52.0,Roslindale
1994,Roxbury,60000.0,65500.0,123360.0,134668.0,25.0,35.0,Roxbury
1994,South Boston,100500.0,95000.0,206629.0,195321.0,62.0,107.0,South Boston
1994,South Boston Waterfront,,148500.0,,305317.0,0.0,5.0,South Boston Waterfront
1994,South End,247500.0,154000.0,508861.0,316625.0,30.0,373.0,South End
1994,West End,,117250.0,,241067.0,0.0,51.0,West End
1994,West Roxbury,157000.0,84000.0,322793.0,172704.0,327.0,112.0,West Roxbury
1995,Allston,126500.0,67575.0,252917.0,135106.0,23.0,96.0,Allston
1995,Back Bay,787500.0,220000.0,1574483.5,439856.0,2.0,401.0,Back Bay
1995,Beacon Hill,861250.0,189650.0,1721935.0,379176.0,26.0,179.0,Beacon Hill
1995,Brighton,158000.0,76500.0,315896.0,152949.5,51.0,284.0,Brighton
1995,Charlestown,121000.0,157000.0,241921.0,313897.0,47.0,211.0,Charlestown
1995,Dorchester,89950.0,49000.0,179841.0,97968.0,236.0,95.0,Dorchester
1995,Downtown,,173500.0,,346886.0,0.0,115.0,Downtown
1995,East Boston,59000.0,50000.0,117961.0,99967.0,21.0,20.0,East Boston
1995,Fenway,293000.0,105000.0,585808.0,209931.0,3.0,205.0,Fenway
1995,Hyde Park,109000.0,37000.0,217928.0,73976.0,310.0,21.0,Hyde Park
1995,Jamaica Plain,175000.0,99000.0,349885.0,197935.0,69.0,136.0,Jamaica Plain
1995,Longwood,,45000.0,,89970.0,0.0,3.0,Longwood
1995,Mattapan,93000.0,87500.0,185939.0,174943.0,77.0,5.0,Mattapan
1995,Mission Hill,126500.0,68000.0,252917.0,135955.0,3.0,18.0,Mission Hill
1995,North End,,164375.0,,328642.5,0.0,128.0,North End
1995,Roslindale,115000.0,74950.0,229925.0,149851.0,175.0,46.0,Roslindale
1995,Roxbury,62500.0,52250.0,124959.0,104466.0,21.0,34.0,Roxbury
1995,South Boston,107500.0,85000.0,214929.5,169944.0,70.0,113.0,South Boston
1995,South Boston Waterfront,,116281.5,,232487.0,0.0,10.0,South Boston Waterfront
1995,South End,320000.0,153000.0,639790.0,305900.0,21.0,407.0,South End
1995,West End,,125000.0,,249918.0,0.0,47.0,West End
1995,West Roxbury,156000.0,75000.0,311898.0,149951.0,265.0,119.0,West Roxbury
1996,Allston,138500.0,65500.0,268967.0,127201.0,14.0,92.0,Allston
1996,Back Bay,912500.0,235500.0,1772076.0,457341.0,8.0,498.0,Back Bay
1996,Beacon Hill,720000.0,185000.0,1398241.0,359270.0,19.0,207.0,Beacon Hill
1996,Brighton,180000.0,86500.0,349560.0,167983.0,60.0,303.0,Brighton
1996,Charlestown,208000.0,190000.0,403936.0,368980.0,64.0,249.0,Charlestown
1996,Chinatown,,168000.0,,326256.0,0.0,5.0,Chinatown
1996,Dorchester,106000.0,58000.0,205852.0,112636.0,232.0,117.0,Dorchester
1996,Downtown,,190416.0,,369788.0,0.0,168.0,Downtown
1996,East Boston,82048.0,51000.0,159337.5,99042.0,36.0,29.0,East Boston
1996,Fenway,271000.0,100000.0,526282.0,194200.0,1.0,272.0,Fenway
1996,Hyde Park,114000.0,67000.0,221388.0,130114.0,280.0,47.0,Hyde Park
1996,Jamaica Plain,227000.0,116500.0,440834.0,226243.0,103.0,184.0,Jamaica Plain
1996,Longwood,,45000.0,,87390.0,0.0,5.0,Longwood
1996,Mattapan,92000.0,70950.0,178664.0,137785.0,75.0,16.0,Mattapan
1996,Mission Hill,97000.0,79500.0,188374.0,154389.0,5.0,15.0,Mission Hill
1996,North End,488000.0,150500.0,947697.0,292271.0,1.0,140.0,North End
1996,Roslindale,126900.0,88000.0,246440.0,170896.0,161.0,42.0,Roslindale
1996,Roxbury,71650.0,100000.0,139144.5,194200.0,30.0,37.0,Roxbury
1996,South Boston,115000.0,95000.0,223330.0,184490.0,65.0,137.0,South Boston
1996,South Boston Waterfront,,172500.0,,334995.0,0.0,50.0,South Boston Waterfront
1996,South End,331750.0,166750.0,644258.5,323828.5,34.0,514.0,South End
1996,West End,,126700.0,,246052.0,0.0,219.0,West End
1996,West Roxbury,165000.0,89500.0,320430.0,173809.0,276.0,89.0,West Roxbury
1997,Allston,153000.0,105000.0,290462.0,199336.0,12.0,100.0,Allston
1997,Back Bay,1725000.0,248000.0,3274813.0,470813.5,4.0,418.0,Back Bay
1997,Beacon Hill,875000.0,200000.0,1661137.0,379688.0,17.0,191.0,Beacon Hill
1997,Brighton,185000.0,89900.0,351212.0,170670.0,47.0,330.0,Brighton
1997,Charlestown,245000.0,174500.0,465118.0,331278.0,51.0,219.0,Charlestown
1997,Chinatown,,295750.0,,561464.0,0.0,12.0,Chinatown
1997,Dorchester,115000.0,57600.0,218321.0,109350.0,187.0,75.0,Dorchester
1997,Downtown,355000.0,196400.0,673947.0,372854.0,1.0,160.0,Downtown
1997,East Boston,71000.0,40000.0,134789.5,75938.0,28.0,31.0,East Boston
1997,Fenway,,118000.0,,224016.0,0.0,247.0,Fenway
1997,Hyde Park,123000.0,64000.0,233508.0,121500.5,191.0,28.0,Hyde Park
1997,Jamaica Plain,221500.0,104750.0,420505.0,198861.5,67.0,156.0,Jamaica Plain
1997,Longwood,,126000.0,,239203.5,0.0,6.0,Longwood
1997,Mattapan,100000.0,107000.0,189844.0,203133.5,79.0,14.0,Mattapan
1997,Mission Hill,215000.0,76000.0,408165.0,144281.5,2.0,14.0,Mission Hill
1997,North End,200000.0,185500.0,379688.0,352161.0,1.0,196.0,North End
1997,Roslindale,130000.0,90450.0,246798.0,171714.0,160.0,40.0,Roslindale
1997,Roxbury,75250.0,118500.0,142857.5,224965.5,36.0,32.0,Roxbury
1997,South Boston,127000.0,118000.0,241102.0,224016.0,75.0,131.0,South Boston
1997,South Boston Waterfront,,225000.0,,427150.0,0.0,17.0,South Boston Waterfront
1997,South End,506000.0,187000.0,960611.5,355009.0,20.0,478.0,South End
1997,West End,,153447.5,,291311.0,0.0,184.0,West End
1997,West Roxbury,178000.0,99950.0,337923.0,189749.5,265.0,108.0,West Roxbury
1998,Allston,185000.0,110250.0,345825.0,206093.0,21.0,168.0,Allston
1998,Back Bay,1200500.0,286501.5,2244125.0,535564.5,4.0,542.0,Back Bay
1998,Beacon Hill,1152500.0,232000.0,2154397.0,433683.0,37.0,280.0,Beacon Hill
1998,Brighton,220000.0,102900.0,411252.0,192353.5,47.0,494.0,Brighton
1998,Charlestown,263000.0,199900.0,491632.5,373678.0,70.0,447.0,Charlestown
1998,Chinatown,,226687.5,,423753.0,0.0,18.0,Chinatown
1998,Dorchester,129000.0,65000.0,241143.0,121506.0,254.0,146.0,Dorchester
1998,Downtown,,275000.0,,514064.0,0.0,225.0,Downtown
1998,East Boston,97000.0,65000.0,181325.0,121506.0,47.0,38.0,East Boston
1998,Fenway,627500.0,144000.0,1173001.5,269183.0,2.0,389.0,Fenway
1998,Hyde Park,134000.0,97900.0,250490.0,183007.0,234.0,39.0,Hyde Park
1998,Jamaica Plain,238250.0,129950.0,445367.0,242918.5,90.0,324.0,Jamaica Plain
1998,Longwood,,68000.0,,127114.0,0.0,13.0,Longwood
1998,Mattapan,116000.0,124000.0,216842.0,231796.0,55.0,27.0,Mattapan
1998,Mission Hill,121500.0,96000.0,227123.0,179455.0,2.0,27.0,Mission Hill
1998,North End,367000.0,170500.0,686042.5,318720.0,4.0,192.0,North End
1998,Roslindale,160000.0,109950.0,299092.0,205532.5,170.0,58.0,Roslindale
1998,Roxbury,89000.0,124750.0,166370.0,233198.5,40.0,52.0,Roxbury
1998,South Boston,147000.0,138750.0,274791.0,259369.0,75.0,238.0,South Boston
1998,South Boston Waterfront,195000.0,299655.5,364518.0,560153.5,1.0,16.0,South Boston Waterfront
1998,South End,550000.0,225000.0,1028129.0,420598.0,15.0,586.0,South End
1998,West End,,166000.0,,310308.0,0.0,72.0,West End
1998,West Roxbury,200250.0,112000.0,374332.0,209364.0,305.0,139.0,West Roxbury
1999,Allston,238000.0,117000.0,435286.0,213985.0,26.0,173.0,Allston
1999,Back Bay,1415000.0,328500.0,2587938.0,600804.0,7.0,606.0,Back Bay
1999,Beacon Hill,1410000.0,231500.0,2578794.0,423397.5,23.0,294.0,Beacon Hill
1999,Brighton,265000.0,117950.0,484667.0,215722.5,73.0,594.0,Brighton
1999,Charlestown,325000.0,235500.0,594403.0,430713.5,67.0,372.0,Charlestown
1999,Chinatown,,137500.0,,251478.0,0.0,1.0,Chinatown
1999,Dorchester,145000.0,82000.0,265195.0,149972.0,257.0,194.0,Dorchester
1999,Downtown,,311075.0,,568935.0,0.0,210.0,Downtown
1999,East Boston,115000.0,79900.0,210327.0,146132.0,56.0,60.0,East Boston
1999,Fenway,570000.0,142600.0,1042491.0,260806.0,3.0,397.0,Fenway
1999,Hyde Park,156250.0,100000.0,285770.5,182893.0,254.0,55.0,Hyde Park
1999,Jamaica Plain,245375.0,150000.0,448774.0,274340.0,100.0,370.0,Jamaica Plain
1999,Longwood,,119450.0,,218466.0,0.0,16.0,Longwood
1999,Mattapan,140000.0,152000.0,256050.0,277997.5,63.0,34.0,Mattapan
1999,Mission Hill,192500.0,117250.0,352069.5,214442.0,2.0,42.0,Mission Hill
1999,North End,128800.0,220000.0,235566.0,402365.0,1.0,195.0,North End
1999,Roslindale,186750.0,121000.0,341553.0,221301.0,168.0,73.0,Roslindale
1999,Roxbury,109000.0,133500.0,199353.5,244162.5,54.0,120.0,Roxbury
1999,South Boston,202000.0,162900.0,369444.5,297933.0,52.0,331.0,South Boston
1999,South Boston Waterfront,,320500.0,,586172.5,0.0,16.0,South Boston Waterfront
1999,South End,725000.0,266500.0,1325975.0,487410.5,19.0,752.0,South End
1999,West End,,190000.0,,347497.0,0.0,77.0,West End
1999,West Roxbury,228000.0,125000.0,416996.0,228616.0,330.0,149.0,West Roxbury
2000,Allston,260000.0,145000.0,460058.0,256571.0,15.0,121.0,Allston
2000,Back Bay,1800000.0,485000.0,3185017.0,858185.0,5.0,618.0,Back Bay
2000,Beacon Hill,1537500.0,323375.0,2720535.5,572197.0,20.0,236.0,Beacon Hill
2000,Brighton,290000.0,140000.0,513142.0,247724.0,39.0,525.0,Brighton
2000,Charlestown,395000.0,310000.0,698934.0,548531.0,57.0,265.0,Charlestown
2000,Chinatown,,459000.0,,812179.0,0.0,3.0,Chinatown
2000,Dorchester,171500.0,117750.0,303461.5,208353.0,196.0,208.0,Dorchester
2000,Downtown,192500.0,387000.0,340620.0,684779.0,1.0,203.0,Downtown
2000,East Boston,138000.0,94000.0,244185.0,166329.0,48.0,51.0,East Boston
2000,Fenway,,196000.0,,346813.0,0.0,302.0,Fenway
2000,Hyde Park,189000.0,107400.0,334427.0,190039.5,199.0,38.0,Hyde Park
